# Annual average marine heatwave statistics at Gordons_Bay
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1972, 1, 5.0, 4.148, 3.691, 18.45, 5.0, 18.45, 0.5059, 1.866, 0.09794, 2.522, 2.038, 10.19, 0.5284, 20.5, 20.08, 100.4, 0.4792, 2.551, 2.238, 17.62, 25.5, 14.4
1973, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.09, 25.5, 10.0
1974, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.93, 22.5, 12.5
1975, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.0, 23.0, 12.5
1976, 1, 8.0, 2.748, 2.203, 17.63, 8.0, 17.63, 0.277, 0.2479, 0.0008162, 1.087, 0.5407, 4.326, 0.2778, 18.5, 17.94, 143.5, 0.2997, 1.654, 1.325, 16.03, 22.5, 12.5
1977, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.4, 22.5, 12.5
1978, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.28, 23.5, 12.0
1979, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.22, 22.0, 12.0
1980, 1, 6.0, 2.921, 2.266, 13.59, 6.0, 13.59, 0.3742, 0.4203, 0.0003308, 1.168, 0.5199, 3.119, 0.383, 19.0, 18.33, 110.0, 0.3727, 1.666, 1.299, 16.47, 22.0, 12.5
1981, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.04, 21.0, 12.0
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.4, 22.0, 13.0
1983, 2, 7.0, 3.39, 2.938, 20.57, 14.0, 41.13, 0.3067, 0.5608, 0.0004795, 0.9218, 0.4932, 3.452, 0.2988, 21.25, 20.75, 145.2, 0.3331, 1.387, 1.209, 16.51, 23.0, 12.0
1984, 1, 5.0, 2.025, 1.484, 7.419, 5.0, 7.419, 0.336, 0.2494, 0.0002901, 0.9065, 0.371, 1.855, 0.3314, 16.5, 15.9, 79.5, 0.3742, 1.81, 1.332, 16.22, 21.0, 12.5
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.51, 22.0, 10.0
1986, 3, 5.333, 2.66, 2.415, 12.69, 16.0, 38.07, 0.1846, 0.2232, 0.000229, 0.7565, 0.5281, 2.743, 0.1632, 18.83, 18.6, 98.67, 0.1871, 1.395, 1.276, 16.97, 22.0, 13.0
