# Annual average marine heatwave statistics at Sea_Point
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1974, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.4, 17.0, 10.0
1975, 12, 13.75, 2.968, 2.494, 34.25, 165.0, 411.0, 0.3112, 0.5245, 0.002382, 0.9906, 0.515, 5.535, 0.3099, 16.08, 15.64, 216.2, 0.2998, 1.494, 1.271, 14.61, 18.0, 12.0
1976, 5, 9.2, 2.814, 2.385, 24.91, 46.0, 124.6, 0.2538, 0.933, 0.001023, 0.8708, 0.4145, 6.237, 0.2675, 16.0, 15.58, 146.8, 0.2561, 1.456, 1.213, 14.21, 18.0, 10.0
1977, 3, 10.0, 4.301, 3.505, 36.83, 30.0, 110.5, 0.5678, 0.3049, 0.001789, 1.968, 1.15, 13.16, 0.5802, 17.67, 16.89, 170.7, 0.5551, 1.838, 1.489, 13.85, 19.0, 12.0
1978, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.74, 15.0, 11.0
1979, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.07, 16.0, 9.0
1980, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.02, 16.0, 10.0
1981, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.5, 16.0, 10.0
1982, 1, 21.0, 3.588, 2.524, 53.01, 21.0, 53.01, 0.5718, 0.08923, 0.0003036, 1.273, 0.1976, 4.149, 0.565, 17.0, 16.1, 338.0, 0.526, 1.55, 1.084, 13.14, 16.0, 10.0
1983, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.81, 17.0, 10.0
1984, 1, 9.0, 9.361, 5.983, 53.85, 9.0, 53.85, 2.819, 2.982, 0.002144, 7.23, 3.812, 34.31, 2.848, 23.0, 19.67, 177.0, 2.789, 4.394, 2.773, 12.11, 23.0, 10.0
1985, 4, 10.5, 4.261, 2.983, 34.39, 42.0, 137.5, 0.7186, 1.682, 0.0006371, 2.31, 1.019, 16.18, 0.7233, 17.5, 16.23, 171.8, 0.7147, 2.436, 1.619, 13.29, 19.0, 10.0
1986, 1, 5.0, 2.046, 1.966, 9.831, 5.0, 9.831, 0.04023, 0.2381, 0.0001208, 0.1284, 0.04994, 0.2497, 0.03932, 15.1, 15.02, 75.1, 0.04, 1.067, 1.026, 11.95, 15.1, 10.0
1987, 1, 7.0, 2.985, 2.334, 16.34, 7.0, 16.34, 0.4406, 0.5874, 0.0004158, 1.088, 0.4298, 3.009, 0.4441, 16.0, 15.36, 107.5, 0.4403, 1.573, 1.226, 12.43, 17.0, 10.0
1988, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.53, 16.0, 10.0
1989, 3, 10.33, 2.879, 2.333, 25.21, 31.0, 75.64, 0.3348, 0.9088, 0.0002305, 1.213, 0.6683, 7.918, 0.3275, 16.0, 15.44, 160.3, 0.3496, 1.721, 1.405, 13.06, 17.0, 10.0
1990, 2, 5.0, 2.936, 2.522, 12.61, 10.0, 25.22, 0.3158, 0.467, 0.0001349, 0.9763, 0.5644, 2.822, 0.3075, 16.15, 15.73, 78.65, 0.3262, 1.492, 1.287, 12.38, 17.0, 9.0
1991, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.2, 16.0, 9.5
