# Annual average marine heatwave statistics at Eastern_Beach
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1984, 2, 7.0, 4.256, 3.417, 23.92, 14.0, 47.84, 0.6612, 0.7383, 0.005117, 1.89, 1.05, 7.35, 0.6474, 23.0, 22.14, 155.0, 0.6888, 1.794, 1.443, 17.43, 24.0, 13.0
1985, 4, 9.0, 4.352, 3.176, 29.57, 36.0, 118.3, 0.6952, 0.7138, 0.004788, 1.961, 0.7923, 6.549, 0.6976, 22.5, 21.35, 196.2, 0.6923, 1.835, 1.33, 18.33, 24.0, 14.0
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.63, 24.0, 14.0
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
1988, 2, 7.5, 5.292, 4.043, 30.5, 15.0, 61.01, 0.8825, 1.173, 0.001718, 2.666, 1.431, 10.89, 0.8725, 23.5, 22.23, 167.0, 0.8948, 2.014, 1.545, 18.08, 24.0, 14.0
1989, 1, 8.0, 2.671, 1.799, 14.39, 8.0, 14.39, 0.3299, 0.2712, 0.0007183, 1.087, 0.2391, 1.913, 0.323, 20.0, 19.12, 153.0, 0.3307, 1.686, 1.153, 17.81, 24.0, 13.0
1990, 1, 5.0, 5.637, 4.439, 22.2, 5.0, 22.2, 0.7485, 5.01, 0.001558, 2.939, 1.737, 8.687, 0.7497, 24.0, 22.8, 114.0, 0.7483, 2.089, 1.643, 17.84, 24.0, 13.0
1991, 2, 5.0, 3.615, 2.801, 14.01, 10.0, 28.01, 0.6903, 1.612, 0.0007197, 2.115, 1.299, 6.494, 0.6911, 21.5, 20.7, 103.5, 0.6922, 2.664, 2.068, 17.56, 23.0, 14.0
1992, 1, 6.0, 3.198, 2.37, 14.22, 6.0, 14.22, 0.3707, 0.6106, 0.0004763, 1.102, 0.2683, 1.61, 0.3727, 21.0, 20.17, 121.0, 0.3727, 1.525, 1.128, 18.61, 24.0, 14.0
1993, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.02, 24.0, 14.0
1994, 1, 6.0, 3.016, 2.196, 13.17, 6.0, 13.17, 0.3711, 0.3976, 0.0002759, 1.097, 0.2796, 1.677, 0.3695, 21.0, 20.17, 121.0, 0.3727, 1.572, 1.146, 17.97, 23.0, 14.0
1995, 2, 8.5, 4.403, 2.645, 22.55, 17.0, 45.09, 1.013, 0.9919, 0.0006477, 2.612, 0.833, 7.76, 1.022, 22.0, 20.25, 171.5, 1.019, 2.622, 1.497, 17.98, 23.0, 15.0
1996, 1, 5.0, 4.999, 4.395, 21.97, 5.0, 21.97, 0.4878, 2.329, 0.0003199, 2.49, 1.858, 9.29, 0.4787, 24.0, 23.4, 117.0, 0.4899, 1.993, 1.732, 17.7, 25.0, 13.5
1997, 1, 9.0, 4.377, 3.552, 31.97, 9.0, 31.97, 0.5218, 0.8049, 0.0008665, 1.574, 0.8054, 7.248, 0.4806, 22.5, 21.67, 195.0, 0.527, 1.562, 1.291, 17.51, 22.5, 12.5
1998, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.27, 24.0, 15.0
