# Annual average marine heatwave statistics at Ystervarkpunt
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.05, 20.36, 11.64
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.31, 23.36, 11.25
1997, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.54, 23.1, 12.5
1998, 2, 19.0, 1.701, 1.096, 22.85, 38.0, 45.7, 0.2385, 0.1208, 0.0008444, 0.8015, 0.2281, 6.392, 0.2159, 17.0, 16.4, 310.4, 0.2442, 1.872, 1.254, 17.67, 22.44, 12.13
1999, 1, 10.0, 1.439, 1.118, 11.18, 10.0, 11.18, 0.156, 0.1855, 0.0004244, 0.6004, 0.2771, 2.771, 0.1578, 17.09, 16.71, 167.1, 0.2126, 1.716, 1.33, 17.58, 22.96, 11.78
2000, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.38, 23.04, 10.11
2001, 1, 8.0, 1.487, 1.169, 9.351, 8.0, 9.351, 0.159, 0.1027, 0.0002858, 0.6205, 0.3143, 2.514, 0.1531, 16.86, 16.61, 132.8, 0.1324, 1.716, 1.367, 17.05, 22.3, 12.31
2002, 2, 8.0, 2.535, 2.229, 14.26, 16.0, 28.51, 0.239, 0.1598, 0.0002932, 0.6808, 0.3731, 2.497, 0.2427, 19.39, 19.14, 145.1, 0.2057, 1.45, 1.22, 17.69, 22.87, 11.82
2003, 5, 11.0, 3.32, 2.951, 28.37, 55.0, 141.8, 0.2519, 0.2175, 0.0003309, 0.7102, 0.3992, 4.004, 0.2317, 21.93, 21.55, 226.4, 0.2655, 1.284, 1.16, 18.16, 23.63, 13.63
2004, 5, 11.8, 2.246, 1.98, 23.96, 59.0, 119.8, 0.2032, 0.1536, 0.0003164, 0.6836, 0.4482, 6.064, 0.1912, 20.31, 19.95, 244.0, 0.2891, 1.483, 1.321, 18.49, 23.29, 14.51
2005, 3, 8.333, 1.301, 1.052, 8.635, 25.0, 25.91, 0.116, 0.3256, 0.0001198, 0.4388, 0.1923, 1.534, 0.1153, 17.41, 17.21, 143.7, 0.1081, 1.514, 1.223, 17.78, 23.01, 12.75
2006, 1, 7.0, 3.04, 2.921, 20.45, 7.0, 20.45, 0.1413, 0.0227, 0.0002118, 0.4216, 0.2492, 1.744, 0.086, 19.87, 19.78, 138.4, 0.1638, 1.161, 1.094, 17.81, 22.62, 11.3
2007, 2, 10.0, 2.063, 1.873, 18.14, 20.0, 36.28, 0.1377, 0.06979, 0.0001532, 0.4912, 0.3148, 2.935, 0.1264, 20.74, 20.54, 200.9, 0.1768, 1.304, 1.196, 19.02, 23.12, 11.68
