# Annual average marine heatwave statistics at Knysna
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.45, 19.31, 10.85
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.36, 21.85, 10.72
1997, 1, 10.0, 2.07, 1.744, 17.44, 10.0, 17.44, 0.1854, 0.1402, 0.0006731, 0.6869, 0.3397, 3.397, 0.2074, 19.53, 19.22, 192.2, 0.1978, 1.497, 1.246, 17.44, 23.0, 11.76
1998, 3, 19.0, 3.518, 2.691, 42.03, 57.0, 126.1, 0.4372, 0.3616, 0.001639, 1.364, 0.6833, 11.53, 0.3729, 20.67, 19.89, 346.3, 0.4051, 1.867, 1.411, 17.86, 24.18, 11.58
1999, 3, 6.0, 2.059, 1.772, 10.75, 18.0, 32.24, 0.2095, 0.2788, 0.0006132, 0.6228, 0.3388, 2.093, 0.2078, 18.71, 18.47, 111.2, 0.1955, 1.537, 1.297, 17.74, 22.86, 12.86
2000, 2, 5.0, 2.456, 2.286, 11.43, 10.0, 22.86, 0.1124, 0.4914, 0.0001465, 0.4432, 0.2279, 1.139, 0.1266, 20.91, 20.7, 103.5, 0.1252, 1.237, 1.124, 17.83, 23.39, 11.4
2001, 2, 13.5, 2.383, 2.06, 26.1, 27.0, 52.2, 0.2039, 0.123, 0.0003255, 0.7889, 0.4532, 6.849, 0.1937, 19.98, 19.74, 251.9, 0.2258, 1.579, 1.33, 17.26, 22.8, 12.06
2002, 1, 5.0, 3.315, 3.124, 15.62, 5.0, 15.62, 0.1117, 0.1327, 0.0002233, 0.4498, 0.2785, 1.392, 0.09214, 21.27, 21.16, 105.8, 0.08166, 1.157, 1.098, 17.54, 23.57, 13.28
2003, 6, 11.67, 3.507, 3.017, 32.18, 70.0, 193.1, 0.3005, 0.3165, 0.000354, 0.8943, 0.4578, 5.166, 0.2683, 21.48, 21.01, 240.1, 0.3088, 1.402, 1.182, 18.2, 24.24, 12.93
2004, 3, 20.0, 3.594, 2.726, 55.05, 60.0, 165.1, 0.3977, 0.2998, 0.0004928, 1.509, 0.6165, 13.77, 0.3999, 21.38, 20.63, 424.9, 0.4582, 1.843, 1.331, 18.63, 23.57, 14.18
2005, 2, 5.5, 1.384, 1.192, 6.633, 11.0, 13.27, 0.1236, 0.3356, 9.772e-05, 0.3354, 0.1407, 0.7866, 0.1252, 17.13, 16.99, 93.79, 0.102, 1.318, 1.133, 17.55, 23.04, 12.75
2006, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.77, 22.65, 12.0
2007, 3, 14.67, 3.169, 2.693, 30.38, 44.0, 91.13, 0.2417, 0.1288, 0.0001956, 0.9919, 0.5073, 6.547, 0.2557, 21.81, 21.2, 282.6, 0.3123, 1.521, 1.261, 18.28, 23.55, 12.55
2008, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.74, 22.54, 11.81
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.62, 21.78, 12.57
