# Annual average marine coldspell statistics at Sea_Point
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 8, 15.88, -3.013, -2.259, -34.5, 127.0, -276.0, 0.4517, 0.3149, 0.01146, -1.601, -0.8566, -14.35, 0.4515, 13.15, 13.84, 218.0, 0.4624, -2.218, -1.646, 15.29, 20.21, 12.61
1983, 8, 11.12, -2.257, -1.699, -20.74, 89.0, -165.9, 0.3864, 0.2412, 0.002156, -1.139, -0.5908, -7.795, 0.3841, 13.39, 13.9, 153.9, 0.375, -1.985, -1.517, 15.5, 19.92, 12.4
1984, 7, 7.571, -2.73, -2.317, -17.36, 53.0, -121.6, 0.3765, 0.4461, 0.001345, -1.097, -0.6779, -5.111, 0.374, 14.36, 14.78, 113.0, 0.3792, -1.692, -1.429, 15.94, 19.64, 13.37
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.59, 19.58, 14.0
1986, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.17, 20.02, 15.25
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.99, 20.73, 14.51
1988, 1, 5.0, -1.253, -1.187, -5.934, 5.0, -5.934, 0.04625, 0.1241, 6.359e-05, -0.1225, -0.05593, -0.2796, 0.04752, 14.56, 14.63, 73.13, 0.05417, -1.108, -1.05, 16.31, 20.22, 14.14
1989, 2, 5.5, -2.245, -1.953, -10.54, 11.0, -21.08, 0.2646, 0.287, 0.0002417, -0.8263, -0.5363, -2.925, 0.2622, 13.64, 13.93, 76.65, 0.2604, -1.621, -1.393, 16.4, 20.0, 13.62
1990, 4, 9.0, -1.516, -1.245, -11.78, 36.0, -47.13, 0.1838, 0.2201, 0.0001665, -0.5556, -0.2789, -3.0, 0.1873, 13.8, 14.07, 126.1, 0.1779, -1.577, -1.289, 15.99, 18.96, 13.26
1991, 3, 10.0, -1.68, -1.393, -14.79, 30.0, -44.36, 0.1722, 0.1465, 0.0001658, -0.7096, -0.3989, -4.867, 0.1865, 13.65, 13.94, 137.4, 0.1772, -1.74, -1.404, 16.65, 19.83, 12.84
