# Annual average marine coldspell statistics at Port_Nolloth
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
2005, 3, 5.333, -1.801, -1.608, -8.606, 16.0, -25.82, 0.1512, 0.5219, 5.715e-05, -0.4871, -0.296, -1.608, 0.1437, 15.81, 16.01, 85.41, 0.1813, -1.377, -1.228, 15.89, 20.14, 13.74
2006, 2, 7.0, -1.791, -1.628, -11.82, 14.0, -23.64, 0.1529, 0.1659, 7.218e-05, -0.5444, -0.3797, -2.896, 0.1631, 14.72, 14.9, 104.4, 0.207, -1.43, -1.3, 15.46, 18.67, 12.76
2007, 1, 7.0, -2.411, -1.972, -13.81, 7.0, -13.81, 0.3406, 0.4272, 0.000121, -1.056, -0.6111, -4.277, 0.3411, 14.42, 14.91, 104.4, 0.3632, -1.779, -1.449, 15.88, 20.05, 13.64
2008, 4, 9.0, -2.123, -1.771, -16.29, 36.0, -65.16, 0.2631, 0.2987, 9.498e-05, -0.8654, -0.51, -4.673, 0.2647, 15.08, 15.41, 138.5, 0.2804, -1.681, -1.399, 15.55, 18.95, 13.47
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.28, 20.92, 13.32
2010, 1, 10.0, -2.085, -1.583, -15.83, 10.0, -15.83, 0.3256, 0.2984, 0.0001039, -1.088, -0.6006, -6.006, 0.3158, 13.6, 14.06, 140.6, 0.3044, -2.092, -1.609, 15.85, 20.71, 12.94
2011, 4, 6.25, -1.561, -1.37, -8.34, 25.0, -33.36, 0.1367, 0.183, 4.55e-05, -0.4623, -0.2729, -1.661, 0.1333, 14.02, 14.2, 88.28, 0.1271, -1.43, -1.249, 15.76, 19.95, 12.84
2012, 6, 6.5, -1.407, -1.233, -7.915, 39.0, -47.49, 0.1304, 0.2364, 4.419e-05, -0.4479, -0.277, -1.771, 0.1292, 13.45, 13.62, 88.33, 0.1322, -1.47, -1.295, 15.7, 21.23, 12.58
2013, 2, 10.5, -1.543, -1.376, -13.98, 21.0, -27.95, 0.1055, 0.1016, 3.015e-05, -0.398, -0.2417, -2.625, 0.1126, 15.11, 15.21, 155.3, 0.1101, -1.359, -1.221, 15.62, 19.11, 13.19
2014, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.32, 20.08, 13.9
