# Annual average marine coldspell statistics at Orient_Beach
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 8, 13.12, -4.26, -3.045, -41.87, 105.0, -335.0, 0.8236, 0.6334, 0.02179, -2.737, -1.542, -20.34, 0.8188, 18.11, 19.28, 258.9, 0.826, -2.8, -2.028, 21.21, 25.77, 15.4
1983, 7, 9.714, -3.529, -2.695, -26.48, 68.0, -185.4, 0.5487, 0.4518, 0.003969, -1.904, -1.059, -10.62, 0.554, 19.59, 20.42, 198.9, 0.5583, -2.209, -1.671, 21.85, 26.93, 16.87
1984, 10, 10.0, -3.813, -2.569, -28.49, 100.0, -284.9, 0.6381, 0.7477, 0.002704, -2.24, -0.9921, -11.94, 0.6366, 18.75, 20.01, 200.9, 0.652, -2.455, -1.632, 21.32, 25.27, 15.17
1985, 3, 11.0, -2.322, -1.964, -23.33, 33.0, -69.98, 0.2095, 0.1948, 0.0007251, -0.8307, -0.4951, -7.423, 0.2012, 20.74, 21.05, 225.8, 0.242, -1.56, -1.341, 22.1, 25.8, 18.29
1986, 3, 7.333, -2.257, -1.937, -14.53, 22.0, -43.58, 0.2859, 0.1983, 0.000454, -0.8582, -0.5366, -4.358, 0.2881, 19.28, 19.6, 142.2, 0.2981, -1.623, -1.39, 22.27, 25.63, 17.89
1987, 2, 6.0, -2.115, -1.823, -10.95, 12.0, -21.91, 0.2307, 0.3212, 0.0003656, -0.6689, -0.3773, -2.359, 0.2335, 20.01, 20.33, 120.8, 0.232, -1.473, -1.266, 22.29, 25.99, 18.61
1988, 1, 6.0, -2.139, -1.931, -11.58, 6.0, -11.58, 0.1629, 0.3237, 0.0002566, -0.8945, -0.6902, -4.141, 0.1626, 18.83, 19.03, 114.2, 0.1824, -1.719, -1.556, 22.59, 25.81, 18.83
1989, 1, 5.0, -2.619, -2.291, -11.45, 5.0, -11.45, 0.2176, 0.1611, 0.000221, -0.7762, -0.4804, -2.402, 0.197, 21.84, 22.15, 110.8, 0.2066, -1.421, -1.264, 22.45, 26.1, 18.58
1990, 2, 5.5, -2.203, -1.797, -9.867, 11.0, -19.73, 0.3012, 0.8418, 0.0002662, -0.8474, -0.4379, -2.382, 0.3034, 18.19, 18.61, 102.4, 0.3009, -1.626, -1.323, 22.31, 26.34, 18.1
1991, 1, 7.0, -2.62, -2.338, -16.37, 7.0, -16.37, 0.2959, 0.7313, 0.0002895, -0.9035, -0.5983, -4.188, 0.2967, 21.73, 22.04, 154.3, 0.2943, -1.526, -1.344, 22.56, 26.79, 18.8
1992, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.64, 26.42, 18.66
1993, 1, 13.0, -2.228, -1.84, -23.92, 13.0, -23.92, 0.3029, 0.1031, 0.0002071, -0.8715, -0.4737, -6.159, 0.3042, 18.27, 18.63, 242.2, 0.2967, -1.642, -1.347, 22.75, 26.65, 18.27
1994, 5, 9.6, -2.12, -1.789, -16.71, 48.0, -83.55, 0.2166, 0.3589, 0.0001698, -0.783, -0.4497, -4.161, 0.2165, 18.96, 19.28, 184.8, 0.2356, -1.587, -1.334, 22.02, 25.94, 17.71
1995, 2, 9.0, -2.35, -1.914, -17.84, 18.0, -35.69, 0.3537, 0.3242, 0.0001822, -0.9158, -0.4684, -4.426, 0.3606, 18.99, 19.47, 178.6, 0.3863, -1.626, -1.325, 22.11, 25.75, 17.97
1996, 1, 12.0, -2.676, -2.151, -25.81, 12.0, -25.81, 0.2659, 0.1258, 0.0002062, -0.9554, -0.424, -5.088, 0.2791, 21.63, 22.16, 265.9, 0.255, -1.555, -1.247, 22.6, 26.54, 18.8
1997, 4, 6.75, -2.701, -2.257, -15.92, 27.0, -63.66, 0.3271, 0.6281, 0.0002074, -1.18, -0.7457, -5.481, 0.322, 20.32, 20.75, 141.0, 0.3266, -1.773, -1.491, 22.5, 26.61, 18.9
1998, 1, 6.0, -2.092, -1.692, -10.15, 6.0, -10.15, 0.2323, 0.3443, 0.0001171, -0.8846, -0.481, -2.886, 0.2324, 19.23, 19.61, 117.7, 0.2467, -1.732, -1.397, 22.72, 26.33, 19.17
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 23.28, 27.13, 19.54
2000, 1, 8.0, -1.903, -1.645, -13.16, 8.0, -13.16, 0.166, 0.1469, 0.0001544, -0.4965, -0.2423, -1.938, 0.1611, 19.28, 19.52, 156.2, 0.167, -1.353, -1.172, 22.95, 27.23, 18.65
2001, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.85, 26.29, 18.64
2002, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.66, 26.09, 19.63
2003, 2, 10.5, -2.605, -2.029, -21.98, 21.0, -43.97, 0.3416, 0.2307, 0.0001562, -1.27, -0.7021, -8.196, 0.3323, 17.8, 18.38, 192.5, 0.3512, -1.953, -1.53, 22.55, 27.24, 17.65
2004, 1, 9.0, -2.357, -2.004, -18.04, 9.0, -18.04, 0.2093, 0.1335, 9.36e-05, -0.7676, -0.4073, -3.666, 0.2203, 21.39, 21.74, 195.7, 0.2438, -1.483, -1.256, 22.59, 26.35, 19.25
2005, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.66, 27.57, 19.29
2006, 2, 5.0, -1.97, -1.734, -8.668, 10.0, -17.34, 0.1935, 0.2725, 0.000143, -0.5781, -0.3367, -1.684, 0.194, 19.82, 20.08, 100.4, 0.1991, -1.425, -1.246, 23.09, 26.64, 18.19
2007, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.89, 26.94, 18.16
2008, 2, 7.5, -3.258, -2.451, -19.81, 15.0, -39.61, 0.5053, 0.4738, 0.0001595, -1.758, -0.959, -8.275, 0.5022, 19.15, 19.96, 151.1, 0.5094, -2.069, -1.583, 22.34, 27.22, 18.75
2009, 6, 10.5, -4.198, -2.777, -29.71, 63.0, -178.3, 0.8455, 0.6845, 0.0002742, -2.664, -1.244, -13.34, 0.8404, 18.28, 19.71, 208.3, 0.8457, -2.701, -1.802, 21.9, 26.57, 17.25
2010, 5, 14.2, -3.619, -2.531, -37.75, 71.0, -188.7, 0.6478, 1.011, 0.0002027, -2.086, -1.012, -15.92, 0.6386, 18.83, 19.87, 287.5, 0.6379, -2.349, -1.663, 22.32, 27.19, 17.24
2011, 2, 11.5, -4.382, -2.922, -37.07, 23.0, -74.15, 0.7217, 0.8141, 0.0002558, -2.644, -1.188, -15.07, 0.722, 18.27, 19.76, 233.9, 0.7311, -2.394, -1.686, 22.08, 26.99, 18.12
2012, 1, 5.0, -1.676, -1.588, -7.938, 5.0, -7.938, 0.06453, 0.3695, 2.477e-05, -0.2846, -0.1909, -0.9544, 0.06234, 19.4, 19.52, 97.62, 0.06829, -1.204, -1.137, 22.83, 26.96, 19.21
2013, 1, 15.0, -4.148, -3.492, -52.38, 15.0, -52.38, 0.7287, 0.2606, 0.0002451, -2.685, -2.017, -30.26, 0.7457, 18.9, 19.62, 294.3, 0.7068, -2.835, -2.374, 22.67, 27.74, 18.9
2014, 2, 12.5, -5.09, -3.051, -38.6, 25.0, -77.19, 1.067, 1.236, 0.0003078, -3.529, -1.483, -19.21, 1.07, 17.96, 20.05, 252.7, 1.105, -3.267, -1.949, 22.36, 27.21, 17.83
