"","site","type","coast","start.date","end.date","duration","intMean","intCum"
"1","Sea Point","insitu","wc",1990-06-23,1990-08-05,44,-2.878,-126.6
"2","Muizenberg","insitu","sc",1984-07-14,1984-09-14,63,-2.916,-183.7
"3","Sodwana","insitu","ec",2004-02-12,2004-02-28,17,-3.247,-55.2
