"","coast","mhw_freq","mhw_freq_sd","mhw_dur","mhw_dur_sd","mhw_intens","mhw_intens_sd","mcs_freq","mcs_freq_sd","mcs_dur","mcs_dur_sd","mcs_intens","mcs_intens_sd"
"1","All",1.6,1.8,9.3,5.1,2.65,0.79,1.5,1.7,9,5.1,-2.79,1.09
"2","wc",1.8,1.9,9.1,3.9,2.86,0.9,1.5,1.9,8.5,5.2,-2.32,0.58
"3","sc",1.5,1.8,9.8,6.1,2.5,0.65,1.5,1.6,9.7,5.5,-3.08,1.22
"4","ec",1.5,1.7,7.7,2.2,2.85,0.89,1.6,1.6,7.1,1.9,-2.37,0.67
