"site","events","cooccurrence","proportion","lon","lat","quantile"
"Eastern Beach",18,1,0.0555555555555556,27.921824,-33.017976,0
"Eastern Beach",16,1,0.0625,27.921824,-33.017976,0.1
"Eastern Beach",14,1,0.0714285714285714,27.921824,-33.017976,0.2
"Eastern Beach",12,1,0.0833333333333333,27.921824,-33.017976,0.3
"Eastern Beach",11,1,0.0909090909090909,27.921824,-33.017976,0.4
"Eastern Beach",9,1,0.111111111111111,27.921824,-33.017976,0.5
"Eastern Beach",7,0,0,27.921824,-33.017976,0.6
"Eastern Beach",6,0,0,27.921824,-33.017976,0.7
"Eastern Beach",4,0,0,27.921824,-33.017976,0.8
"Eastern Beach",2,0,0,27.921824,-33.017976,0.9
"Eastern Beach",1,0,0,27.921824,-33.017976,1
"Fish Hoek",41,8,0.195121951219512,18.4359169,-34.13525212,0
"Fish Hoek",37,7,0.189189189189189,18.4359169,-34.13525212,0.1
"Fish Hoek",33,6,0.181818181818182,18.4359169,-34.13525212,0.2
"Fish Hoek",29,5,0.172413793103448,18.4359169,-34.13525212,0.3
"Fish Hoek",25,5,0.2,18.4359169,-34.13525212,0.4
"Fish Hoek",21,5,0.238095238095238,18.4359169,-34.13525212,0.5
"Fish Hoek",16,3,0.1875,18.4359169,-34.13525212,0.6
"Fish Hoek",12,2,0.166666666666667,18.4359169,-34.13525212,0.7
"Fish Hoek",9,2,0.222222222222222,18.4359169,-34.13525212,0.8
"Fish Hoek",5,1,0.2,18.4359169,-34.13525212,0.9
"Fish Hoek",1,0,0,18.4359169,-34.13525212,1
"Gordons Bay",54,14,0.259259259259259,18.859076,-34.163417,0
"Gordons Bay",48,12,0.25,18.859076,-34.163417,0.1
"Gordons Bay",43,12,0.27906976744186,18.859076,-34.163417,0.2
"Gordons Bay",38,10,0.263157894736842,18.859076,-34.163417,0.3
"Gordons Bay",32,9,0.28125,18.859076,-34.163417,0.4
"Gordons Bay",27,7,0.259259259259259,18.859076,-34.163417,0.5
"Gordons Bay",22,5,0.227272727272727,18.859076,-34.163417,0.6
"Gordons Bay",16,4,0.25,18.859076,-34.163417,0.7
"Gordons Bay",11,1,0.0909090909090909,18.859076,-34.163417,0.8
"Gordons Bay",6,1,0.166666666666667,18.859076,-34.163417,0.9
"Gordons Bay",1,0,0,18.859076,-34.163417,1
"Hamburg",31,3,0.0967741935483871,27.48888889,-33.28611111,0
"Hamburg",28,3,0.107142857142857,27.48888889,-33.28611111,0.1
"Hamburg",25,3,0.12,27.48888889,-33.28611111,0.2
"Hamburg",22,1,0.0454545454545455,27.48888889,-33.28611111,0.3
"Hamburg",19,1,0.0526315789473684,27.48888889,-33.28611111,0.4
"Hamburg",16,1,0.0625,27.48888889,-33.28611111,0.5
"Hamburg",12,1,0.0833333333333333,27.48888889,-33.28611111,0.6
"Hamburg",9,1,0.111111111111111,27.48888889,-33.28611111,0.7
"Hamburg",7,1,0.142857142857143,27.48888889,-33.28611111,0.8
"Hamburg",4,1,0.25,27.48888889,-33.28611111,0.9
"Hamburg",1,0,0,27.48888889,-33.28611111,1
"Hermanus",30,7,0.233333333333333,19.25493,-34.414594,0
"Hermanus",27,6,0.222222222222222,19.25493,-34.414594,0.1
"Hermanus",24,5,0.208333333333333,19.25493,-34.414594,0.2
"Hermanus",21,4,0.19047619047619,19.25493,-34.414594,0.3
"Hermanus",18,3,0.166666666666667,19.25493,-34.414594,0.4
"Hermanus",15,2,0.133333333333333,19.25493,-34.414594,0.5
"Hermanus",12,2,0.166666666666667,19.25493,-34.414594,0.6
"Hermanus",9,2,0.222222222222222,19.25493,-34.414594,0.7
"Hermanus",6,1,0.166666666666667,19.25493,-34.414594,0.8
"Hermanus",3,1,0.333333333333333,19.25493,-34.414594,0.9
"Hermanus",1,1,1,19.25493,-34.414594,1
"Hout Bay",31,6,0.193548387096774,18.349713,-34.050165,0
"Hout Bay",28,5,0.178571428571429,18.349713,-34.050165,0.1
"Hout Bay",25,5,0.2,18.349713,-34.050165,0.2
"Hout Bay",22,5,0.227272727272727,18.349713,-34.050165,0.3
"Hout Bay",19,4,0.210526315789474,18.349713,-34.050165,0.4
"Hout Bay",16,4,0.25,18.349713,-34.050165,0.5
"Hout Bay",12,3,0.25,18.349713,-34.050165,0.6
