"site","events","cooccurrence","proportion","lon","lat","quantile"
"Hout Bay",4,0,0,18.349713,-34.050165,0.9
"Hout Bay",1,0,0,18.349713,-34.050165,1
"Humewood",26,5,0.192307692307692,25.64723969,-33.97361638,0
"Humewood",23,4,0.173913043478261,25.64723969,-33.97361638,0.1
"Humewood",21,3,0.142857142857143,25.64723969,-33.97361638,0.2
"Humewood",18,2,0.111111111111111,25.64723969,-33.97361638,0.3
"Humewood",16,2,0.125,25.64723969,-33.97361638,0.4
"Humewood",13,2,0.153846153846154,25.64723969,-33.97361638,0.5
"Humewood",11,1,0.0909090909090909,25.64723969,-33.97361638,0.6
"Humewood",8,1,0.125,25.64723969,-33.97361638,0.7
"Humewood",6,1,0.166666666666667,25.64723969,-33.97361638,0.8
"Humewood",3,1,0.333333333333333,25.64723969,-33.97361638,0.9
"Humewood",1,0,0,25.64723969,-33.97361638,1
"Knysna",26,6,0.230769230769231,23.0669444444,-34.0827777778,0
"Knysna",23,6,0.260869565217391,23.0669444444,-34.0827777778,0.1
"Knysna",21,6,0.285714285714286,23.0669444444,-34.0827777778,0.2
"Knysna",18,5,0.277777777777778,23.0669444444,-34.0827777778,0.3
"Knysna",16,5,0.3125,23.0669444444,-34.0827777778,0.4
"Knysna",13,3,0.230769230769231,23.0669444444,-34.0827777778,0.5
"Knysna",11,3,0.272727272727273,23.0669444444,-34.0827777778,0.6
"Knysna",8,2,0.25,23.0669444444,-34.0827777778,0.7
"Knysna",6,2,0.333333333333333,23.0669444444,-34.0827777778,0.8
"Knysna",3,1,0.333333333333333,23.0669444444,-34.0827777778,0.9
"Knysna",1,0,0,23.0669444444,-34.0827777778,1
"Kommetjie",35,5,0.142857142857143,18.32674026,-34.13667297,0
"Kommetjie",31,5,0.161290322580645,18.32674026,-34.13667297,0.1
"Kommetjie",28,5,0.178571428571429,18.32674026,-34.13667297,0.2
"Kommetjie",24,3,0.125,18.32674026,-34.13667297,0.3
"Kommetjie",21,3,0.142857142857143,18.32674026,-34.13667297,0.4
"Kommetjie",18,2,0.111111111111111,18.32674026,-34.13667297,0.5
"Kommetjie",14,0,0,18.32674026,-34.13667297,0.6
"Kommetjie",11,0,0,18.32674026,-34.13667297,0.7
"Kommetjie",7,0,0,18.32674026,-34.13667297,0.8
"Kommetjie",4,0,0,18.32674026,-34.13667297,0.9
"Kommetjie",1,0,0,18.32674026,-34.13667297,1
"Mossel Bay",26,5,0.192307692307692,22.155,-34.1833333333,0
"Mossel Bay",23,5,0.217391304347826,22.155,-34.1833333333,0.1
"Mossel Bay",21,5,0.238095238095238,22.155,-34.1833333333,0.2
"Mossel Bay",18,4,0.222222222222222,22.155,-34.1833333333,0.3
"Mossel Bay",16,4,0.25,22.155,-34.1833333333,0.4
"Mossel Bay",13,4,0.307692307692308,22.155,-34.1833333333,0.5
"Mossel Bay",11,4,0.363636363636364,22.155,-34.1833333333,0.6
"Mossel Bay",8,3,0.375,22.155,-34.1833333333,0.7
"Mossel Bay",6,1,0.166666666666667,22.155,-34.1833333333,0.8
"Mossel Bay",3,1,0.333333333333333,22.155,-34.1833333333,0.9
"Mossel Bay",1,0,0,22.155,-34.1833333333,1
"Muizenberg",35,2,0.0571428571428571,18.48363876,-34.10398726,0
"Muizenberg",31,2,0.0645161290322581,18.48363876,-34.10398726,0.1
"Muizenberg",28,1,0.0357142857142857,18.48363876,-34.10398726,0.2
"Muizenberg",24,1,0.0416666666666667,18.48363876,-34.10398726,0.3
"Muizenberg",21,0,0,18.48363876,-34.10398726,0.4
"Muizenberg",18,0,0,18.48363876,-34.10398726,0.5
"Muizenberg",14,0,0,18.48363876,-34.10398726,0.6
"Muizenberg",11,0,0,18.48363876,-34.10398726,0.7
"Muizenberg",7,0,0,18.48363876,-34.10398726,0.8
"Muizenberg",4,0,0,18.48363876,-34.10398726,0.9
"Muizenberg",1,0,0,18.48363876,-34.10398726,1
"Nahoon Beach",17,0,0,27.950362,-32.993159,0
"Nahoon Beach",15,0,0,27.950362,-32.993159,0.1
"Nahoon Beach",13,0,0,27.950362,-32.993159,0.2
"Nahoon Beach",12,0,0,27.950362,-32.993159,0.3
"Nahoon Beach",10,0,0,27.950362,-32.993159,0.4
"Nahoon Beach",9,0,0,27.950362,-32.993159,0.5
"Nahoon Beach",7,0,0,27.950362,-32.993159,0.6
"Nahoon Beach",5,0,0,27.950362,-32.993159,0.7
"Nahoon Beach",4,0,0,27.950362,-32.993159,0.8
"Nahoon Beach",2,0,0,27.950362,-32.993159,0.9
"Nahoon Beach",1,0,0,27.950362,-32.993159,1
"Orient Beach",47,2,0.0425531914893617,27.91625977,-33.02406514,0
"Orient Beach",42,2,0.0476190476190476,27.91625977,-33.02406514,0.1
"Orient Beach",37,2,0.0540540540540541,27.91625977,-33.02406514,0.2
"Orient Beach",33,2,0.0606060606060606,27.91625977,-33.02406514,0.3
"Orient Beach",28,2,0.0714285714285714,27.91625977,-33.02406514,0.4
"Orient Beach",24,2,0.0833333333333333,27.91625977,-33.02406514,0.5
"Orient Beach",19,2,0.105263157894737,27.91625977,-33.02406514,0.6
"Orient Beach",14,2,0.142857142857143,27.91625977,-33.02406514,0.7
