"","site","month","dayStrt","index","type","coast","duration","intMean","intCum"
"1","Sea Point",1990-06-01,23,1,"insitu","wc",44,-2.878,-126.6
"2","Sea Point",1983-06-01,10,2,"insitu","wc",39,-2.843,-110.9
"3","Sea Point",2000-11-01,28,3,"insitu","wc",23,-3.697,-85.04
"4","Muizenberg",1984-07-01,14,1,"insitu","sc",63,-2.916,-183.7
"5","Muizenberg",1992-03-01,24,2,"insitu","sc",56,-2.778,-155.6
"6","Ystervarkpunt",2000-05-01,11,1,"insitu","sc",51,-2.944,-150.1
"7","Sodwana",2004-02-01,12,1,"insitu","ec",17,-3.247,-55.2
"8","Orient Beach",1984-03-01,31,1,"insitu","ec",13,-3.726,-48.44
"9","Orient Beach",1995-12-01,6,2,"insitu","ec",15,-3.009,-45.13
