# Marine heatwave statistics for individual detected events at Pollock_Beach
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
64, 2004, 11, 13, 2004, 11, 19, 2004, 11, 20, 8, 2.447, 2.107, 16.86, 0.2378, 0.1446, 7.581e-05, 0.8523, 0.5172, 4.137, 0.2349, 21.68, 21.25, 170.0, 0.3052, 1.534, 1.325
65, 2004, 12, 3, 2004, 12, 7, 2004, 12, 11, 9, 2.27, 1.886, 16.97, 0.2267, 0.203, 8.159e-05, 0.7508, 0.3675, 3.307, 0.2206, 22.09, 21.71, 195.3, 0.211, 1.494, 1.242
66, 2005, 3, 14, 2005, 3, 15, 2005, 3, 18, 5, 2.498, 2.222, 11.11, 0.2136, 0.6781, 0.0001383, 0.9876, 0.6951, 3.476, 0.2238, 23.54, 23.25, 116.2, 0.2246, 1.654, 1.456
67, 2005, 10, 28, 2005, 11, 2, 2005, 11, 5, 9, 2.247, 1.929, 17.36, 0.2679, 0.1896, 0.0001202, 0.807, 0.5066, 4.559, 0.241, 20.79, 20.45, 184.0, 0.327, 1.561, 1.353
68, 2006, 7, 29, 2006, 7, 30, 2006, 8, 3, 6, 1.468, 1.369, 8.212, 0.09159, 0.4307, 9.057e-05, 0.2779, 0.1835, 1.101, 0.09067, 19.47, 19.35, 116.1, 0.1012, 1.233, 1.155
69, 2006, 11, 24, 2006, 11, 25, 2006, 11, 30, 7, 2.34, 2.15, 15.05, 0.211, 0.2795, 9.572e-05, 0.7443, 0.5688, 3.982, 0.2005, 21.78, 21.66, 151.6, 0.1625, 1.467, 1.359
70, 2006, 12, 9, 2006, 12, 10, 2006, 12, 17, 9, 2.692, 1.931, 17.38, 0.3897, 1.07, 0.0001372, 1.193, 0.4568, 4.111, 0.3806, 22.6, 21.94, 197.4, 0.3578, 1.796, 1.308
71, 2006, 12, 22, 2006, 12, 25, 2006, 12, 26, 5, 1.867, 1.671, 8.354, 0.1316, 0.1601, 5.606e-05, 0.5103, 0.3005, 1.503, 0.1442, 22.36, 22.12, 110.6, 0.1774, 1.376, 1.22
72, 2007, 1, 22, 2007, 1, 24, 2007, 1, 29, 8, 2.345, 2.008, 16.06, 0.2591, 0.3288, 0.0001432, 1.06, 0.7104, 5.683, 0.2713, 23.73, 23.41, 187.3, 0.2413, 1.824, 1.55
73, 2007, 2, 19, 2007, 2, 20, 2007, 2, 24, 6, 2.764, 2.118, 12.71, 0.4934, 0.593, 0.0001478, 1.344, 0.6918, 4.151, 0.4989, 24.26, 23.59, 141.5, 0.5182, 1.947, 1.487
74, 2007, 2, 28, 2007, 3, 2, 2007, 3, 4, 5, 2.263, 1.902, 9.509, 0.2217, 0.3304, 0.0001757, 0.8109, 0.4511, 2.255, 0.2214, 23.56, 23.2, 116.0, 0.2269, 1.558, 1.311
75, 2007, 6, 14, 2007, 6, 22, 2007, 6, 26, 13, 3.655, 2.577, 33.51, 0.582, 0.2349, 0.0002419, 2.282, 1.197, 15.56, 0.58, 22.3, 21.3, 276.9, 0.6022, 2.661, 1.866
76, 2007, 7, 29, 2007, 7, 31, 2007, 8, 4, 7, 2.19, 1.778, 12.44, 0.3392, 0.517, 0.0001002, 1.004, 0.5941, 4.159, 0.3382, 20.18, 19.75, 138.3, 0.349, 1.847, 1.502
77, 2007, 9, 17, 2007, 9, 20, 2007, 9, 21, 5, 2.146, 1.672, 8.36, 0.2781, 0.2487, 0.000106, 0.9663, 0.4998, 2.499, 0.2741, 20.13, 19.65, 98.23, 0.2832, 1.819, 1.426
78, 2011, 9, 11, 2011, 9, 14, 2011, 9, 16, 6, 1.977, 1.699, 10.2, 0.2604, 0.3075, 7.433e-05, 0.8465, 0.5681, 3.409, 0.2614, 19.9, 19.62, 117.7, 0.2644, 1.749, 1.502
79, 2011, 11, 6, 2011, 11, 7, 2011, 11, 14, 9, 2.916, 2.231, 20.08, 0.4626, 1.06, 0.0001141, 1.405, 0.686, 6.174, 0.4782, 21.66, 21.11, 189.9, 0.4081, 1.93, 1.447
80, 2012, 1, 6, 2012, 1, 12, 2012, 1, 14, 9, 3.27, 1.995, 17.96, 0.6378, 0.3403, 0.0001804, 2.024, 0.7426, 6.683, 0.6431, 24.39, 23.06, 207.5, 0.6812, 2.625, 1.595
81, 2012, 2, 27, 2012, 3, 1, 2012, 3, 2, 5, 1.944, 1.745, 8.726, 0.1763, 0.1459, 2.688e-05, 0.4946, 0.2985, 1.492, 0.1727, 23.26, 23.08, 115.4, 0.1509, 1.341, 1.206
82, 2012, 5, 31, 2012, 6, 1, 2012, 6, 5, 6, 2.121, 1.91, 11.46, 0.1477, 0.9837, 6.046e-05, 0.5803, 0.3863, 2.318, 0.1519, 21.5, 21.25, 127.5, 0.149, 1.377, 1.254
83, 2012, 6, 15, 2012, 6, 17, 2012, 6, 20, 6, 2.09, 1.888, 11.33, 0.1562, 0.2608, 5.921e-05, 0.6953, 0.4952, 2.971, 0.158, 20.92, 20.7, 124.2, 0.162, 1.499, 1.356
84, 2012, 10, 4, 2012, 10, 6, 2012, 10, 8, 5, 2.503, 2.253, 11.26, 0.2628, 0.4725, 9.299e-05, 1.329, 1.077, 5.386, 0.2639, 20.61, 20.36, 101.8, 0.2658, 2.132, 1.916
85, 2013, 9, 6, 2013, 9, 13, 2013, 10, 5, 30, 2.098, 1.479, 44.38, 0.2917, 0.1471, 7.436e-05, 0.9717, 0.3137, 9.412, 0.307, 20.01, 19.46, 583.8, 0.2727, 1.863, 1.273
