# Marine heatwave statistics for individual detected events at Ystervarkpunt
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
46, 2007, 3, 25, 2007, 4, 4, 2007, 4, 6, 13, 2.933, 1.979, 25.73, 0.4725, 0.1545, 0.0002004, 1.625, 0.6402, 8.323, 0.4866, 22.64, 21.87, 284.4, 0.4247, 2.243, 1.482
47, 2007, 5, 3, 2007, 5, 6, 2007, 5, 7, 5, 2.177, 1.698, 8.491, 0.2626, 0.2432, 0.0001246, 1.039, 0.5659, 2.83, 0.2621, 20.79, 20.33, 101.7, 0.2611, 1.913, 1.5
48, 2007, 5, 12, 2007, 5, 15, 2007, 5, 19, 8, 2.54, 1.987, 15.9, 0.3244, 0.3795, 0.0001351, 1.361, 0.8036, 6.428, 0.3225, 21.0, 20.43, 163.5, 0.3181, 2.154, 1.679
49, 2007, 6, 1, 2007, 6, 2, 2007, 6, 6, 6, 2.29, 1.932, 11.59, 0.2178, 0.5055, 8.45e-05, 1.006, 0.6453, 3.872, 0.219, 20.34, 19.94, 119.7, 0.2396, 1.784, 1.502
50, 2007, 6, 15, 2007, 6, 17, 2007, 6, 25, 11, 1.858, 1.578, 17.35, 0.1291, 0.2625, 7.993e-05, 0.6014, 0.349, 3.839, 0.1138, 19.54, 19.19, 211.1, 0.1876, 1.479, 1.283
51, 2007, 7, 15, 2007, 7, 21, 2007, 7, 26, 12, 2.503, 2.017, 24.2, 0.4189, 0.2587, 0.0001659, 1.41, 0.9262, 11.11, 0.4172, 19.63, 19.15, 229.7, 0.4177, 2.289, 1.849
52, 2007, 8, 17, 2007, 8, 19, 2007, 8, 22, 6, 1.18, 1.065, 6.39, 0.07196, 0.1336, 2.663e-05, 0.2246, 0.1098, 0.6587, 0.07081, 18.2, 18.09, 108.5, 0.07139, 1.235, 1.115
53, 2007, 8, 31, 2007, 9, 23, 2007, 10, 2, 33, 2.473, 1.725, 56.94, 0.3252, 0.06879, 0.0001504, 1.58, 0.7985, 26.35, 0.3378, 19.9, 19.03, 628.0, 0.3901, 2.769, 1.867
54, 2007, 11, 15, 2007, 11, 17, 2007, 11, 21, 7, 2.026, 1.774, 12.42, 0.1826, 0.3697, 9.823e-05, 0.8435, 0.5855, 4.099, 0.1798, 20.93, 20.72, 145.1, 0.2133, 1.713, 1.492
55, 2009, 6, 8, 2009, 6, 10, 2009, 6, 23, 16, 1.873, 1.526, 24.42, 0.176, 0.304, 0.000111, 0.5912, 0.2698, 4.316, 0.1816, 19.73, 19.25, 308.0, 0.2032, 1.461, 1.216
56, 2009, 6, 27, 2009, 6, 28, 2009, 7, 1, 5, 1.557, 1.358, 6.788, 0.1062, 0.5272, 6.955e-05, 0.4028, 0.2134, 1.067, 0.09809, 18.97, 18.74, 93.72, 0.1273, 1.349, 1.186
57, 2009, 8, 7, 2009, 8, 8, 2009, 8, 11, 5, 1.591, 1.366, 6.832, 0.2256, 0.4783, 8.352e-05, 0.5713, 0.3549, 1.775, 0.2237, 18.62, 18.39, 91.96, 0.2256, 1.56, 1.351
58, 2010, 5, 17, 2010, 5, 21, 2010, 5, 25, 9, 2.12, 1.909, 17.19, 0.1834, 0.1138, 8.958e-05, 0.9043, 0.6933, 6.24, 0.1934, 20.44, 20.23, 182.1, 0.2239, 1.744, 1.572
59, 2011, 7, 13, 2011, 7, 16, 2011, 7, 23, 11, 1.875, 1.37, 15.07, 0.2969, 0.1705, 6.887e-05, 0.7885, 0.2816, 3.097, 0.299, 19.02, 18.51, 203.6, 0.307, 1.726, 1.259
60, 2011, 11, 13, 2011, 11, 17, 2011, 11, 19, 7, 1.916, 1.669, 11.68, 0.2067, 0.1896, 4.111e-05, 0.7335, 0.4954, 3.468, 0.1927, 20.82, 20.54, 143.8, 0.2788, 1.62, 1.42
61, 2012, 1, 4, 2012, 1, 8, 2012, 1, 21, 18, 2.693, 2.093, 37.67, 0.4573, 0.4267, 0.0001487, 1.564, 0.9868, 17.76, 0.4459, 23.83, 23.36, 420.6, 0.3862, 2.386, 1.889
62, 2012, 2, 23, 2012, 3, 2, 2012, 4, 6, 44, 2.512, 1.858, 81.77, 0.3239, 0.12, 0.0001176, 1.058, 0.449, 19.75, 0.3076, 23.52, 22.37, 984.2, 0.6837, 1.728, 1.317
63, 2012, 7, 16, 2012, 7, 18, 2012, 8, 4, 20, 2.315, 1.472, 29.43, 0.3632, 0.5717, 0.0001175, 1.227, 0.3914, 7.829, 0.3559, 19.45, 18.58, 371.5, 0.3825, 2.127, 1.36
64, 2013, 8, 28, 2013, 9, 2, 2013, 9, 6, 10, 1.603, 1.28, 12.8, 0.2177, 0.1187, 6e-05, 0.6377, 0.319, 3.19, 0.2168, 18.69, 18.37, 183.7, 0.2085, 1.661, 1.332
65, 2013, 10, 1, 2013, 10, 4, 2013, 10, 26, 26, 1.536, 1.246, 32.39, 0.1787, 0.1728, 4.573e-05, 0.6255, 0.2917, 7.585, 0.1931, 19.16, 19.05, 495.2, 0.1981, 1.687, 1.31
66, 2014, 1, 1, 2014, 1, 3, 2014, 1, 7, 7, 2.39, 2.045, 14.31, 0.3255, 0.4122, 0.0001027, 1.199, 0.8659, 6.061, 0.328, 23.36, 23.05, 161.3, 0.3312, 2.007, 1.736
67, 2014, 1, 18, 2014, 1, 29, 2014, 2, 1, 15, 2.176, 1.741, 26.11, 0.2753, 0.09808, 9.702e-05, 1.032, 0.6289, 9.434, 0.271, 23.77, 23.29, 349.3, 0.3053, 1.901, 1.566
68, 2014, 2, 10, 2014, 2, 17, 2014, 2, 19, 10, 2.459, 1.904, 19.04, 0.3005, 0.1604, 9.583e-05, 1.13, 0.6026, 6.026, 0.3047, 23.88, 23.37, 233.7, 0.3109, 1.85, 1.464
69, 2014, 4, 7, 2014, 4, 12, 2014, 4, 14, 8, 2.429, 1.991, 15.93, 0.3829, 0.2458, 0.0001206, 1.17, 0.7255, 5.804, 0.384, 21.75, 21.38, 171.1, 0.3885, 1.93, 1.574
70, 2014, 6, 27, 2014, 7, 4, 2014, 7, 16, 20, 2.245, 1.542, 30.85, 0.3217, 0.1491, 0.0001075, 1.147, 0.4416, 8.832, 0.318, 19.53, 18.81, 376.1, 0.3655, 2.045, 1.401
