# Marine coldspell statistics for individual detected events at Port_Nolloth
Event number, Start year, Start month, Start day, Peak year, Peak month, Peak day, End year, End month, End day, Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless]
24, 1988, 11, 29, 1988, 12, 7, 1988, 12, 7, 9, -2.034, -1.706, -15.35, 0.2159, 0.1202, 0.0002323, -0.6572, -0.363, -3.267, 0.197, 14.93, 15.09, 135.8, 0.1438, -1.477, -1.268
25, 1989, 4, 1, 1989, 4, 6, 1989, 4, 6, 6, -1.85, -1.726, -10.36, 0.08857, 0.1107, 0.0003266, -0.6382, -0.4729, -2.837, 0.1086, 14.59, 14.81, 88.85, 0.1399, -1.527, -1.379
26, 1989, 6, 7, 1989, 6, 11, 1989, 6, 13, 7, -1.789, -1.533, -10.73, 0.2427, 0.1895, 0.0002432, -0.8901, -0.6333, -4.433, 0.2433, 12.64, 12.92, 90.44, 0.2755, -1.99, -1.704
27, 1990, 1, 20, 1990, 1, 22, 1990, 1, 28, 9, -1.74, -1.571, -14.14, 0.1268, 0.4928, 0.0001854, -0.4309, -0.2519, -2.267, 0.1283, 16.12, 16.31, 146.7, 0.1337, -1.329, -1.191
28, 1990, 6, 23, 1990, 6, 30, 1990, 7, 11, 19, -1.587, -1.283, -24.38, 0.1763, 0.08374, 0.0002046, -0.7168, -0.4197, -7.975, 0.1717, 12.51, 12.79, 243.1, 0.1761, -1.823, -1.485
29, 1990, 7, 19, 1990, 7, 27, 1990, 7, 28, 10, -1.027, -0.9733, -9.733, 0.04346, 0.03146, 6.075e-05, -0.2388, -0.1811, -1.811, 0.04402, 12.8, 12.87, 128.7, 0.0472, -1.303, -1.229
30, 1990, 8, 4, 1990, 8, 7, 1990, 8, 8, 5, -1.137, -1.033, -5.164, 0.08291, 0.1151, 7.83e-05, -0.3375, -0.2369, -1.185, 0.07819, 12.68, 12.79, 63.93, 0.0816, -1.422, -1.297
31, 1990, 8, 17, 1990, 8, 21, 1990, 8, 21, 5, -1.755, -1.188, -5.941, 0.3189, 0.2079, 0.0001605, -0.881, -0.3184, -1.592, 0.3156, 12.15, 12.7, 63.49, 0.3076, -2.008, -1.365
32, 1990, 8, 27, 1990, 8, 31, 1990, 9, 2, 7, -1.511, -1.203, -8.422, 0.264, 0.1402, 0.0001049, -0.644, -0.3356, -2.349, 0.2654, 12.51, 12.81, 89.66, 0.2396, -1.743, -1.387
33, 1990, 9, 16, 1990, 9, 18, 1990, 9, 21, 6, -1.252, -1.079, -6.474, 0.1405, 0.1566, 0.0001153, -0.3872, -0.2156, -1.294, 0.1402, 13.11, 13.3, 79.77, 0.1494, -1.448, -1.25
