# Annual average marine heatwave statistics at Mossel_Bay
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.54, 22.11, 14.82
1983, 2, 7.0, 1.932, 1.701, 11.91, 14.0, 23.82, 0.182, 0.1119, 0.0009978, 0.5839, 0.361, 2.527, 0.1859, 21.33, 21.04, 147.3, 0.2058, 1.431, 1.269, 18.44, 22.17, 14.99
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.7, 21.51, 14.79
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.57, 22.08, 15.71
1986, 2, 12.5, 2.566, 1.983, 25.56, 25.0, 51.12, 0.3866, 0.1605, 0.0007699, 1.337, 0.7651, 10.04, 0.3788, 19.82, 19.27, 242.8, 0.3691, 2.087, 1.618, 18.69, 22.13, 16.08
1987, 2, 18.0, 2.253, 1.908, 32.25, 36.0, 64.5, 0.2546, 0.1317, 0.0003412, 0.8253, 0.4482, 7.133, 0.2617, 22.27, 22.1, 388.6, 0.3491, 1.585, 1.307, 18.71, 23.13, 15.79
1988, 1, 12.0, 1.997, 1.516, 18.19, 12.0, 18.19, 0.2432, 0.4648, 0.0004901, 0.9737, 0.5059, 6.071, 0.2349, 18.76, 18.29, 219.5, 0.2337, 1.952, 1.499, 18.38, 22.56, 16.06
1989, 1, 13.0, 1.521, 1.344, 17.47, 13.0, 17.47, 0.1179, 0.08759, 0.0001529, 0.5531, 0.364, 4.732, 0.1234, 18.95, 18.81, 244.5, 0.116, 1.572, 1.372, 18.28, 21.81, 15.08
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.2, 22.53, 15.77
1991, 4, 6.5, 1.858, 1.59, 10.84, 26.0, 43.34, 0.1904, 0.4221, 0.000201, 0.6986, 0.4302, 3.084, 0.1917, 20.38, 20.12, 132.7, 0.1829, 1.582, 1.362, 18.56, 22.67, 14.93
1992, 9, 14.33, 2.243, 1.677, 25.84, 129.0, 232.5, 0.2811, 0.2722, 0.0002721, 1.021, 0.4525, 7.827, 0.2888, 21.06, 20.46, 303.2, 0.3136, 1.837, 1.373, 19.37, 24.13, 15.24
1993, 2, 12.0, 2.053, 1.812, 22.7, 24.0, 45.4, 0.1769, 0.2975, 0.0001682, 0.6583, 0.3969, 5.15, 0.1813, 21.27, 21.08, 259.2, 0.199, 1.46, 1.277, 18.97, 23.57, 15.46
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.39, 21.5, 15.25
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.27, 22.54, 15.34
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.91, 22.73, 15.1
1997, 1, 6.0, 1.441, 1.319, 7.913, 6.0, 7.913, 0.1157, 0.199, 7.45e-05, 0.4418, 0.3205, 1.923, 0.1183, 18.22, 18.11, 108.6, 0.1214, 1.442, 1.321, 18.51, 23.35, 15.48
