# Annual average marine heatwave statistics at Nahoon_Beach
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 1, 6.0, 1.383, 1.176, 7.057, 6.0, 7.057, 0.1174, 0.1206, 0.002826, 0.3857, 0.1757, 1.054, 0.1212, 22.24, 22.04, 132.2, 0.1102, 1.387, 1.176, 21.72, 26.22, 15.52
1983, 2, 5.5, 2.143, 1.729, 9.345, 11.0, 18.69, 0.3428, 0.4294, 0.002172, 0.9635, 0.5488, 2.943, 0.3447, 25.29, 24.87, 136.0, 0.3587, 1.798, 1.457, 22.24, 27.0, 17.39
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.8, 25.12, 15.9
1985, 2, 7.5, 1.689, 1.463, 11.0, 15.0, 22.01, 0.1786, 0.1699, 0.0004501, 0.589, 0.3658, 2.672, 0.1811, 22.83, 22.57, 169.9, 0.1873, 1.54, 1.338, 22.45, 25.87, 18.7
1986, 1, 5.0, 1.81, 1.504, 7.52, 5.0, 7.52, 0.2276, 0.4058, 0.0004955, 0.8083, 0.5015, 2.507, 0.2302, 22.68, 22.37, 111.9, 0.2221, 1.807, 1.501, 22.51, 25.67, 18.03
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.54, 26.24, 18.79
1988, 4, 10.5, 1.836, 1.552, 16.31, 42.0, 65.22, 0.2392, 0.2322, 0.000324, 0.7501, 0.4731, 5.369, 0.2386, 23.34, 23.01, 238.1, 0.258, 1.711, 1.446, 22.81, 25.8, 19.37
1989, 1, 10.0, 1.962, 1.554, 15.54, 10.0, 15.54, 0.253, 0.3122, 0.0003276, 0.8622, 0.4479, 4.479, 0.2549, 22.89, 22.51, 225.1, 0.2492, 1.784, 1.405, 22.71, 26.19, 19.5
1990, 1, 7.0, 1.251, 1.144, 8.006, 7.0, 8.006, 0.08815, 0.1618, 0.0002691, 0.2503, 0.1511, 1.057, 0.08427, 21.99, 21.87, 153.1, 0.09442, 1.25, 1.152, 22.58, 26.25, 18.8
1991, 4, 6.0, 1.662, 1.479, 8.973, 24.0, 35.89, 0.1348, 0.166, 0.0001604, 0.3977, 0.2165, 1.411, 0.1309, 24.81, 24.64, 148.2, 0.1493, 1.314, 1.173, 22.77, 26.64, 18.94
1992, 3, 10.67, 2.074, 1.72, 18.4, 32.0, 55.21, 0.2016, 0.5243, 0.0002374, 0.7595, 0.4271, 4.356, 0.1905, 25.05, 24.75, 267.1, 0.2193, 1.577, 1.332, 22.88, 26.65, 19.03
1993, 2, 5.0, 1.857, 1.767, 8.833, 10.0, 17.67, 0.08019, 0.2087, 0.0001106, 0.523, 0.4336, 2.168, 0.07858, 25.04, 24.94, 124.7, 0.08618, 1.399, 1.332, 22.94, 26.56, 18.43
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.22, 26.04, 18.06
1995, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 22.3, 25.7, 18.33
1996, 1, 9.0, 1.995, 1.731, 15.58, 9.0, 15.58, 0.1693, 0.1681, 0.0001487, 0.6375, 0.3798, 3.418, 0.164, 25.08, 24.78, 223.0, 0.2192, 1.47, 1.281, 22.83, 26.71, 18.76
