# Annual average marine heatwave statistics at Gordons_Bay
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.1, 20.74, 12.76
1983, 2, 10.5, 2.494, 1.987, 21.42, 21.0, 42.84, 0.3043, 0.4229, 0.003002, 0.8968, 0.4471, 5.076, 0.2847, 19.93, 19.3, 204.3, 0.3527, 1.556, 1.285, 16.54, 20.71, 13.07
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.22, 19.89, 13.21
1985, 1, 13.0, 1.429, 1.216, 15.8, 13.0, 15.8, 0.1218, 0.05023, 0.0003139, 0.4889, 0.2742, 3.564, 0.1223, 16.71, 16.47, 214.1, 0.1445, 1.52, 1.291, 17.1, 20.86, 14.56
1986, 6, 10.0, 1.881, 1.49, 14.41, 60.0, 86.48, 0.2373, 0.1756, 0.0004405, 0.8073, 0.4148, 4.36, 0.2346, 17.91, 17.55, 172.2, 0.2345, 1.866, 1.448, 17.67, 20.94, 15.34
1987, 1, 6.0, 2.132, 2.048, 12.29, 6.0, 12.29, 0.05681, 0.1122, 0.0001923, 0.2574, 0.1728, 1.037, 0.05431, 20.69, 20.63, 123.8, 0.09793, 1.137, 1.092, 17.41, 20.93, 14.81
1988, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.65, 20.93, 14.63
1989, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.78, 20.21, 13.59
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.53, 20.23, 14.09
1991, 2, 9.0, 2.185, 1.781, 16.32, 18.0, 32.64, 0.2577, 0.2102, 0.0002808, 0.8774, 0.4619, 4.294, 0.2604, 19.8, 19.42, 172.5, 0.2638, 1.669, 1.35, 16.95, 20.49, 12.9
1992, 6, 11.33, 2.199, 1.835, 22.19, 68.0, 133.1, 0.2096, 0.2025, 0.0001864, 0.7354, 0.4082, 5.863, 0.1969, 20.75, 20.42, 236.4, 0.2204, 1.504, 1.287, 17.68, 22.47, 14.65
1993, 2, 13.5, 2.561, 2.075, 33.47, 27.0, 66.94, 0.2409, 0.1771, 0.0002119, 1.02, 0.5528, 10.23, 0.2356, 21.73, 21.16, 287.8, 0.2886, 1.59, 1.324, 17.44, 22.41, 14.21
1994, 2, 10.5, 1.864, 1.336, 14.24, 21.0, 28.47, 0.278, 0.1684, 0.0001745, 0.7837, 0.2593, 2.397, 0.2779, 18.99, 18.48, 196.5, 0.3053, 1.754, 1.258, 17.22, 20.61, 13.64
1995, 1, 5.0, 2.11, 1.88, 9.399, 5.0, 9.399, 0.147, 0.3921, 9.701e-05, 0.6257, 0.3763, 1.882, 0.1523, 21.72, 21.48, 107.4, 0.1519, 1.421, 1.251, 17.05, 21.72, 14.34
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.09, 19.85, 13.38
1997, 1, 5.0, 1.927, 1.772, 8.86, 5.0, 8.86, 0.09445, 0.1053, 7.183e-05, 0.2278, 0.0863, 0.4315, 0.07913, 21.26, 21.13, 105.7, 0.06653, 1.134, 1.051, 16.92, 21.26, 13.19
1998, 2, 5.0, 1.507, 1.367, 6.833, 10.0, 13.67, 0.1005, 0.3091, 6.078e-05, 0.3816, 0.2469, 1.235, 0.1062, 17.56, 17.43, 87.14, 0.0876, 1.355, 1.216, 17.37, 21.36, 14.99
1999, 2, 6.5, 1.304, 1.083, 7.178, 13.0, 14.36, 0.1573, 0.3104, 8.342e-05, 0.457, 0.2299, 1.506, 0.1604, 16.81, 16.59, 107.5, 0.1555, 1.552, 1.271, 17.28, 21.32, 14.65
2000, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.07, 20.64, 14.34
