# Annual average marine heatwave statistics at Knysna
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.52, 21.87, 14.63
1983, 1, 6.0, 1.615, 1.519, 9.117, 6.0, 9.117, 0.08227, 0.05985, 0.000466, 0.335, 0.2125, 1.275, 0.08903, 22.1, 21.91, 131.5, 0.1129, 1.262, 1.163, 18.54, 22.54, 14.89
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.76, 21.67, 14.74
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.76, 22.0, 16.03
1986, 2, 12.0, 2.172, 1.679, 22.05, 24.0, 44.1, 0.2724, 0.2468, 0.0006561, 0.8425, 0.3669, 5.599, 0.262, 20.04, 19.55, 240.6, 0.2859, 1.615, 1.27, 18.89, 22.45, 16.25
1987, 6, 8.5, 2.015, 1.746, 15.13, 51.0, 90.81, 0.187, 0.26, 0.0004114, 0.7214, 0.4693, 4.167, 0.1816, 21.99, 21.69, 185.6, 0.2107, 1.545, 1.353, 18.94, 23.72, 15.97
1988, 2, 15.5, 2.261, 1.568, 24.59, 31.0, 49.18, 0.2763, 0.1293, 0.0004616, 1.077, 0.3718, 6.356, 0.2802, 21.37, 20.69, 310.4, 0.2818, 1.932, 1.317, 18.9, 22.97, 16.36
1989, 1, 10.0, 2.194, 1.805, 18.05, 10.0, 18.05, 0.2275, 0.5038, 0.0003015, 0.9752, 0.6049, 6.049, 0.2227, 19.82, 19.44, 194.4, 0.223, 1.8, 1.504, 18.65, 21.3, 16.21
1990, 1, 5.0, 1.46, 1.375, 6.877, 5.0, 6.877, 0.07112, 0.125, 0.0001143, 0.2703, 0.1949, 0.9747, 0.05922, 18.72, 18.63, 93.15, 0.08337, 1.227, 1.165, 18.67, 23.33, 15.96
1991, 1, 9.0, 2.939, 2.162, 19.45, 9.0, 19.45, 0.5158, 0.4044, 0.0004232, 1.54, 0.7657, 6.891, 0.5121, 22.74, 22.01, 198.1, 0.4842, 2.101, 1.548, 18.85, 22.74, 15.77
1992, 5, 22.8, 2.87, 1.976, 47.58, 114.0, 237.9, 0.4073, 0.2243, 0.0004085, 1.549, 0.6449, 17.49, 0.4188, 22.31, 21.34, 480.8, 0.475, 2.187, 1.49, 19.69, 23.81, 16.04
1993, 4, 7.5, 2.048, 1.791, 14.24, 30.0, 56.98, 0.191, 0.259, 0.0001575, 0.7633, 0.5023, 4.196, 0.1972, 22.3, 22.06, 167.0, 0.1842, 1.593, 1.387, 19.24, 22.97, 16.04
1994, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.64, 21.33, 15.73
1995, 1, 5.0, 1.794, 1.639, 8.193, 5.0, 8.193, 0.08265, 0.1553, 0.0001146, 0.5108, 0.3563, 1.781, 0.08288, 20.32, 20.16, 100.8, 0.1066, 1.398, 1.278, 18.59, 22.16, 15.5
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.28, 22.7, 15.41
1997, 1, 7.0, 1.624, 1.443, 10.1, 7.0, 10.1, 0.1915, 0.1441, 0.0002071, 0.5275, 0.3423, 2.396, 0.1925, 18.81, 18.63, 130.4, 0.1995, 1.481, 1.311, 18.74, 23.27, 15.72
1998, 3, 9.333, 1.965, 1.626, 15.09, 28.0, 45.28, 0.2206, 0.1973, 0.0001099, 0.7762, 0.4385, 3.919, 0.2223, 20.02, 19.73, 181.2, 0.2095, 1.653, 1.371, 19.0, 22.73, 16.08
1999, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.06, 22.76, 16.1
2000, 3, 7.667, 2.042, 1.644, 12.81, 23.0, 38.44, 0.2264, 0.2795, 8.584e-05, 0.7069, 0.3108, 2.483, 0.2228, 21.59, 21.19, 161.3, 0.2573, 1.534, 1.236, 19.04, 22.85, 16.19
2001, 1, 6.0, 1.854, 1.619, 9.714, 6.0, 9.714, 0.1732, 0.1078, 9.107e-05, 0.5002, 0.2628, 1.577, 0.1647, 19.96, 19.73, 118.4, 0.199, 1.369, 1.193, 18.77, 21.61, 15.81
2002, 2, 9.5, 1.744, 1.506, 14.56, 19.0, 29.12, 0.1603, 0.3012, 6.722e-05, 0.5613, 0.3214, 3.453, 0.1643, 20.3, 20.09, 187.6, 0.1668, 1.483, 1.278, 19.07, 22.7, 16.42
2003, 4, 9.75, 2.234, 1.668, 16.53, 39.0, 66.13, 0.2664, 0.1253, 0.0001006, 0.9076, 0.3418, 3.42, 0.2674, 22.16, 21.61, 213.0, 0.2577, 1.679, 1.258, 19.26, 24.33, 16.01
2004, 3, 18.0, 2.167, 1.743, 34.13, 54.0, 102.4, 0.2356, 0.4242, 9.607e-05, 0.8414, 0.3942, 9.733, 0.2263, 21.48, 21.25, 381.7, 0.3768, 1.641, 1.292, 19.41, 23.02, 16.2
