# Annual average marine heatwave statistics at Hamburg
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
2005, 2, 8.0, 2.634, 2.344, 18.68, 16.0, 37.35, 0.219, 0.1162, 4.563e-05, 0.6902, 0.3963, 3.13, 0.217, 26.28, 26.0, 207.9, 0.2132, 1.355, 1.203, 21.79, 26.34, 17.85
2006, 8, 10.25, 2.357, 1.997, 20.49, 82.0, 163.9, 0.2225, 0.1537, 9.107e-05, 0.7566, 0.3968, 4.045, 0.2186, 24.42, 24.04, 247.2, 0.237, 1.478, 1.248, 22.47, 26.22, 18.36
2007, 2, 8.0, 2.846, 2.29, 18.3, 16.0, 36.61, 0.3835, 1.108, 0.0001949, 1.158, 0.6064, 5.067, 0.3749, 26.07, 25.45, 204.6, 0.4294, 1.691, 1.365, 21.84, 26.48, 17.11
2008, 1, 10.0, 3.183, 2.508, 25.08, 10.0, 25.08, 0.2852, 0.8272, 0.000131, 1.5, 0.7687, 7.687, 0.3095, 26.92, 26.26, 262.6, 0.2832, 1.891, 1.445, 21.37, 26.92, 17.26
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 20.99, 25.7, 15.93
2010, 3, 5.0, 2.627, 2.193, 10.96, 15.0, 32.89, 0.365, 0.3781, 0.0001436, 0.9264, 0.4875, 2.437, 0.3679, 25.01, 24.57, 122.9, 0.3643, 1.505, 1.269, 21.3, 27.19, 16.4
2011, 1, 5.0, 1.813, 1.687, 8.435, 5.0, 8.435, 0.09147, 0.3099, 5.235e-05, 0.5105, 0.3801, 1.901, 0.09304, 21.51, 21.4, 107.0, 0.08663, 1.392, 1.291, 21.18, 25.39, 16.97
2012, 3, 5.333, 2.471, 2.132, 11.4, 16.0, 34.2, 0.2455, 0.6146, 7.603e-05, 0.8905, 0.5534, 2.923, 0.2385, 24.55, 24.23, 129.8, 0.2326, 1.561, 1.345, 22.0, 26.29, 18.11
2013, 3, 8.667, 2.96, 2.248, 18.94, 26.0, 56.83, 0.4163, 0.3624, 0.0001056, 1.234, 0.5136, 4.435, 0.4186, 25.33, 24.63, 210.5, 0.4264, 1.713, 1.292, 21.83, 27.43, 17.54
2014, 1, 11.0, 2.499, 2.247, 24.72, 11.0, 24.72, 0.2367, 0.1466, 6.552e-05, 1.184, 0.9408, 10.35, 0.2352, 22.74, 22.38, 246.2, 0.2885, 1.901, 1.72, 21.3, 26.45, 16.39
