# Annual average marine heatwave statistics at Humewood
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.73, 22.36, 14.78
1983, 2, 5.0, 1.866, 1.599, 7.993, 10.0, 15.99, 0.1913, 0.3874, 0.0009662, 0.6235, 0.3495, 1.748, 0.1955, 21.15, 20.87, 104.4, 0.2112, 1.503, 1.279, 18.79, 22.52, 15.5
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.85, 22.55, 14.5
1985, 1, 14.0, 3.24, 2.215, 31.01, 14.0, 31.01, 0.55, 0.3075, 0.001515, 1.858, 0.8489, 11.88, 0.5482, 22.04, 20.96, 293.4, 0.5809, 2.345, 1.621, 19.38, 22.67, 16.76
1986, 3, 5.667, 2.389, 1.873, 10.6, 17.0, 31.81, 0.3167, 0.5221, 0.0006102, 1.076, 0.563, 3.237, 0.3145, 21.48, 20.95, 118.1, 0.3373, 1.816, 1.428, 19.53, 23.04, 16.71
1987, 1, 8.0, 2.504, 2.202, 17.62, 8.0, 17.62, 0.2004, 0.6213, 0.0003444, 1.014, 0.7146, 5.717, 0.1996, 23.31, 22.96, 183.6, 0.2125, 1.68, 1.48, 19.36, 23.31, 16.62
1988, 6, 9.667, 2.332, 1.808, 17.4, 58.0, 104.4, 0.3426, 0.4787, 0.0004305, 1.046, 0.5238, 5.692, 0.3389, 21.14, 20.62, 196.5, 0.355, 1.872, 1.434, 19.57, 22.82, 16.71
1989, 2, 10.5, 1.957, 1.625, 16.98, 21.0, 33.95, 0.2329, 0.138, 0.0003312, 0.8534, 0.5289, 5.19, 0.2269, 19.79, 19.44, 204.4, 0.247, 1.775, 1.487, 19.36, 22.39, 17.0
1990, 1, 5.0, 2.218, 2.131, 10.66, 5.0, 10.66, 0.1197, 0.6391, 9.803e-05, 0.3898, 0.2937, 1.469, 0.1103, 22.28, 22.17, 110.9, 0.1015, 1.213, 1.16, 19.39, 23.77, 16.02
1991, 5, 10.6, 2.799, 2.134, 24.27, 53.0, 121.4, 0.4063, 0.3013, 0.0004228, 1.32, 0.6258, 7.703, 0.419, 22.75, 22.07, 233.7, 0.421, 1.875, 1.409, 19.89, 23.55, 16.95
1992, 6, 19.67, 2.618, 2.085, 39.35, 118.0, 236.1, 0.3142, 0.2658, 0.0003064, 1.112, 0.6109, 11.04, 0.2955, 22.35, 21.81, 426.1, 0.3542, 1.736, 1.406, 20.21, 23.56, 16.61
1993, 7, 7.714, 2.235, 1.879, 14.65, 54.0, 102.5, 0.233, 0.2672, 0.0001767, 0.7465, 0.3921, 3.1, 0.2309, 21.58, 21.22, 164.9, 0.239, 1.505, 1.266, 19.98, 23.3, 15.34
1994, 2, 18.0, 3.61, 2.778, 53.35, 36.0, 106.7, 0.587, 0.6879, 0.0004948, 2.035, 1.169, 22.79, 0.5746, 24.1, 23.2, 418.0, 0.5874, 2.291, 1.724, 19.69, 24.16, 16.67
1995, 5, 8.4, 2.228, 1.711, 13.79, 42.0, 68.94, 0.3005, 0.2983, 0.0001765, 1.042, 0.5147, 3.958, 0.3048, 20.43, 19.94, 165.6, 0.2915, 1.886, 1.42, 19.5, 23.31, 15.89
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.94, 22.7, 16.25
1997, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.29, 23.27, 16.63
1998, 6, 8.333, 2.379, 1.971, 15.99, 50.0, 95.93, 0.3022, 0.4, 0.0001482, 1.095, 0.687, 5.411, 0.3005, 20.94, 20.54, 169.7, 0.3341, 1.875, 1.55, 19.81, 22.97, 16.19
1999, 1, 5.0, 2.043, 1.761, 8.804, 5.0, 8.804, 0.1788, 0.2195, 7.376e-05, 0.5545, 0.2688, 1.344, 0.1812, 22.66, 22.38, 111.9, 0.182, 1.372, 1.18, 19.76, 24.22, 16.93
2000, 6, 8.5, 2.532, 2.069, 17.48, 51.0, 104.9, 0.3462, 0.3478, 0.0001798, 1.182, 0.7231, 6.044, 0.3441, 22.33, 21.88, 185.3, 0.3356, 1.898, 1.554, 20.01, 24.04, 16.99
2001, 1, 5.0, 2.137, 1.865, 9.327, 5.0, 9.327, 0.1749, 0.2829, 9.265e-05, 0.7009, 0.4289, 2.145, 0.175, 23.44, 23.17, 115.8, 0.1765, 1.488, 1.299, 19.38, 23.44, 16.77
2002, 2, 8.0, 2.407, 1.844, 14.95, 16.0, 29.89, 0.4149, 0.3429, 0.0001653, 1.255, 0.6819, 5.604, 0.4221, 20.24, 19.71, 158.0, 0.3934, 2.086, 1.588, 19.42, 22.74, 16.84
2003, 2, 14.5, 2.431, 1.757, 25.47, 29.0, 50.95, 0.2932, 0.1119, 0.0001258, 0.9692, 0.3093, 4.532, 0.2904, 23.46, 22.82, 331.2, 0.2893, 1.665, 1.214, 19.4, 23.85, 16.13
2004, 3, 11.67, 2.967, 2.331, 26.37, 35.0, 79.11, 0.4127, 0.3014, 0.0001489, 1.454, 0.8473, 9.186, 0.3971, 22.25, 21.52, 248.7, 0.454, 1.964, 1.568, 19.72, 23.28, 16.5
2005, 2, 7.0, 2.043, 1.75, 12.35, 14.0, 24.71, 0.2281, 0.1872, 7.614e-05, 0.6334, 0.3484, 2.612, 0.2172, 21.68, 21.36, 148.3, 0.2648, 1.455, 1.254, 19.54, 22.89, 17.16
2006, 1, 7.0, 2.102, 1.805, 12.63, 7.0, 12.63, 0.174, 0.1183, 6.601e-05, 0.5586, 0.2568, 1.798, 0.1757, 21.43, 21.06, 147.4, 0.2097, 1.362, 1.166, 19.67, 22.62, 16.49
2007, 5, 10.0, 2.616, 1.868, 19.43, 50.0, 97.14, 0.4374, 0.4558, 0.0001822, 1.357, 0.6053, 6.403, 0.4374, 21.87, 21.1, 213.8, 0.4636, 2.07, 1.481, 19.37, 24.26, 16.28
2008, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.36, 21.83, 14.49
2009, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.31, 23.24, 13.92
2010, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.5, 23.31, 15.7
2011, 2, 9.0, 2.25, 1.739, 16.34, 18.0, 32.68, 0.3483, 0.3923, 9.212e-05, 1.022, 0.4989, 4.344, 0.3628, 20.41, 19.95, 182.1, 0.3087, 1.844, 1.422, 18.52, 21.35, 15.56
2012, 5, 6.2, 2.29, 1.751, 11.23, 31.0, 56.17, 0.3489, 0.4201, 9.689e-05, 1.098, 0.5584, 3.717, 0.3498, 20.82, 20.28, 129.0, 0.3453, 1.921, 1.472, 19.06, 24.31, 16.27
2013, 2, 10.5, 1.763, 1.384, 14.68, 21.0, 29.37, 0.2065, 0.2033, 5.349e-05, 0.6771, 0.29, 3.398, 0.2096, 19.56, 19.19, 201.4, 0.2099, 1.641, 1.272, 18.95, 22.16, 15.9
2014, 1, 6.0, 1.988, 1.826, 10.96, 6.0, 10.96, 0.1525, 0.1906, 5.46e-05, 0.6552, 0.4878, 2.927, 0.1576, 23.13, 22.97, 137.8, 0.1492, 1.492, 1.365, 18.69, 23.13, 14.67
