# Annual average marine heatwave statistics at Hout_Bay
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14.92, 19.87, 12.29
1983, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.19, 19.81, 12.25
1984, 2, 6.0, 1.927, 1.654, 9.923, 12.0, 19.85, 0.1973, 0.2919, 0.0007836, 0.558, 0.3103, 1.862, 0.1785, 17.73, 17.45, 104.7, 0.2097, 1.416, 1.228, 15.65, 19.23, 12.9
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.36, 19.4, 13.47
1986, 7, 8.429, 1.716, 1.337, 11.15, 59.0, 78.02, 0.2154, 0.1906, 0.0004343, 0.7228, 0.3424, 2.843, 0.2139, 16.84, 16.47, 138.3, 0.2155, 1.706, 1.334, 16.93, 19.81, 15.04
1987, 3, 6.0, 2.166, 1.892, 11.67, 18.0, 35.01, 0.2029, 0.1967, 0.0003243, 0.6046, 0.3279, 2.038, 0.2086, 18.65, 18.38, 111.4, 0.1979, 1.372, 1.203, 16.73, 20.46, 14.18
1988, 1, 5.0, 1.932, 1.494, 7.471, 5.0, 7.471, 0.2885, 0.8704, 0.0003332, 0.823, 0.3639, 1.82, 0.3012, 17.41, 17.03, 85.17, 0.2535, 1.742, 1.325, 16.13, 20.11, 13.9
1989, 2, 6.5, 1.298, 1.213, 7.82, 13.0, 15.64, 0.06583, 0.1182, 0.0001075, 0.3775, 0.2909, 1.842, 0.06662, 16.31, 16.23, 105.4, 0.06891, 1.41, 1.315, 16.11, 19.74, 13.15
1990, 1, 5.0, 2.398, 2.224, 11.12, 5.0, 11.12, 0.2156, 0.1667, 0.0002194, 0.7193, 0.5421, 2.711, 0.2173, 18.45, 18.35, 91.75, 0.1821, 1.429, 1.322, 15.73, 18.7, 12.95
1991, 2, 14.5, 2.541, 2.047, 31.04, 29.0, 62.07, 0.2631, 0.3092, 0.0002545, 0.9205, 0.447, 7.229, 0.2505, 18.61, 18.04, 263.9, 0.3096, 1.569, 1.275, 16.39, 19.52, 12.64
1992, 3, 18.33, 3.207, 2.523, 51.97, 55.0, 155.9, 0.4374, 0.2618, 0.0003925, 1.446, 0.8043, 19.19, 0.4064, 20.69, 20.05, 377.6, 0.4133, 1.801, 1.454, 17.0, 22.3, 13.71
1993, 2, 12.0, 3.25, 2.406, 28.79, 24.0, 57.59, 0.4275, 0.6505, 0.0003429, 1.461, 0.6047, 6.692, 0.4391, 21.0, 20.07, 238.7, 0.4538, 1.822, 1.342, 16.7, 21.28, 13.39
1994, 4, 13.75, 1.994, 1.493, 21.28, 55.0, 85.11, 0.2534, 0.1655, 0.0001663, 0.8485, 0.3354, 5.014, 0.2531, 17.57, 17.12, 236.7, 0.2837, 1.734, 1.287, 16.36, 18.92, 13.57
1995, 2, 13.5, 2.46, 2.182, 29.6, 27.0, 59.2, 0.1404, 0.09293, 9.222e-05, 0.5486, 0.3041, 4.27, 0.1261, 20.26, 20.01, 272.0, 0.1354, 1.286, 1.162, 16.63, 20.73, 14.19
1996, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.66, 19.33, 13.5
