# Annual average marine heatwave statistics at Sea_Point
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.29, 20.21, 12.61
1983, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.5, 19.92, 12.4
1984, 1, 6.0, 1.858, 1.721, 10.33, 6.0, 10.33, 0.1449, 0.2114, 0.0007847, 0.4102, 0.2987, 1.792, 0.1257, 18.05, 17.91, 107.5, 0.1464, 1.283, 1.209, 15.94, 19.64, 13.37
1985, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.59, 19.58, 14.0
1986, 6, 9.167, 1.709, 1.361, 12.1, 55.0, 72.63, 0.2083, 0.1695, 0.0004763, 0.7287, 0.3795, 3.25, 0.2056, 17.13, 16.79, 153.0, 0.2057, 1.729, 1.378, 17.17, 20.02, 15.25
1987, 2, 6.0, 2.49, 2.138, 12.79, 12.0, 25.58, 0.251, 0.2465, 0.000487, 0.8, 0.4356, 2.69, 0.2601, 19.79, 19.44, 115.5, 0.2505, 1.486, 1.261, 16.99, 20.73, 14.51
1988, 1, 5.0, 1.772, 1.398, 6.992, 5.0, 6.992, 0.2666, 0.9287, 0.0003179, 0.7055, 0.3121, 1.56, 0.2788, 17.5, 17.2, 85.98, 0.2292, 1.661, 1.29, 16.31, 20.22, 14.14
1989, 2, 6.5, 1.241, 1.148, 7.26, 13.0, 14.52, 0.06452, 0.1233, 9.348e-05, 0.3136, 0.2142, 1.209, 0.0676, 16.47, 16.38, 106.3, 0.06562, 1.336, 1.228, 16.4, 20.0, 13.62
1990, 1, 5.0, 2.224, 2.062, 10.31, 5.0, 10.31, 0.1811, 0.2407, 0.000193, 0.5394, 0.3774, 1.887, 0.1823, 18.7, 18.54, 92.7, 0.1636, 1.32, 1.224, 15.99, 18.96, 13.26
1991, 2, 13.5, 2.431, 1.965, 27.47, 27.0, 54.93, 0.2367, 0.255, 0.0002116, 0.8244, 0.3747, 5.339, 0.2277, 18.86, 18.31, 249.0, 0.2889, 1.513, 1.234, 16.65, 19.83, 12.84
1992, 3, 18.33, 3.07, 2.477, 50.57, 55.0, 151.7, 0.3893, 0.2635, 0.0003344, 1.385, 0.8227, 18.96, 0.3701, 20.85, 20.27, 382.0, 0.393, 1.805, 1.488, 17.28, 22.35, 14.0
