# Annual average marine heatwave statistics at Port_Nolloth
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14.61, 18.55, 11.97
1983, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.04, 18.51, 12.31
1984, 1, 6.0, 2.488, 1.988, 11.93, 6.0, 11.93, 0.3684, 0.4885, 0.001401, 1.165, 0.6888, 4.133, 0.3435, 18.92, 18.36, 110.2, 0.4322, 1.88, 1.525, 15.66, 20.23, 11.93
1985, 2, 6.5, 2.221, 1.814, 12.12, 13.0, 24.23, 0.3416, 0.3112, 0.0007507, 0.9297, 0.5307, 3.701, 0.3351, 19.66, 19.22, 124.6, 0.3549, 1.715, 1.408, 15.87, 19.78, 13.54
1986, 4, 15.75, 1.602, 1.151, 19.47, 63.0, 77.86, 0.2039, 0.1375, 0.0004551, 0.7855, 0.324, 6.504, 0.2117, 15.56, 15.15, 239.9, 0.1931, 1.972, 1.393, 15.9, 19.41, 13.94
1987, 2, 7.5, 2.003, 1.65, 12.79, 15.0, 25.58, 0.2379, 0.4286, 0.0004086, 0.9259, 0.5772, 4.346, 0.235, 18.07, 17.73, 135.5, 0.2413, 1.872, 1.569, 15.74, 19.86, 12.98
1988, 1, 12.0, 3.095, 2.518, 30.22, 12.0, 30.22, 0.4332, 0.2878, 0.0006322, 1.587, 1.014, 12.17, 0.4339, 20.32, 19.72, 236.7, 0.4453, 2.053, 1.674, 15.61, 20.32, 12.91
1989, 2, 6.0, 2.244, 1.951, 11.71, 12.0, 23.42, 0.276, 0.3999, 0.0003041, 0.8473, 0.5561, 3.336, 0.2677, 19.81, 19.49, 116.9, 0.2955, 1.629, 1.418, 15.76, 20.24, 12.64
1990, 3, 10.67, 1.62, 1.342, 13.93, 32.0, 41.8, 0.182, 0.1743, 0.0002338, 0.5143, 0.2693, 2.811, 0.1624, 17.5, 17.18, 182.0, 0.2339, 1.504, 1.276, 15.51, 19.45, 12.15
1991, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.6, 18.84, 12.83
