# Annual average marine heatwave statistics at Fish_Hoek
# A value of nan indicates mising data. This should correspond to a year with no MHW events (count = 0)
Year, MHW event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MHW days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1982, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.26, 20.78, 12.83
1983, 2, 5.0, 2.312, 1.991, 9.957, 10.0, 19.91, 0.2703, 0.3604, 0.002006, 0.8359, 0.5198, 2.599, 0.2643, 20.34, 20.01, 100.1, 0.2881, 1.565, 1.351, 16.58, 20.98, 13.14
1984, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.63, 20.64, 13.91
1985, 1, 16.0, 1.361, 1.231, 19.69, 16.0, 19.69, 0.08595, 0.02962, 0.0002977, 0.3578, 0.2486, 3.978, 0.08549, 17.0, 16.85, 269.5, 0.09284, 1.357, 1.253, 17.42, 21.1, 14.77
1986, 8, 8.25, 1.72, 1.393, 11.2, 66.0, 89.62, 0.2006, 0.1772, 0.0004043, 0.6079, 0.279, 2.368, 0.2009, 18.17, 17.87, 145.1, 0.1934, 1.585, 1.27, 18.1, 21.23, 15.78
1987, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.66, 21.12, 14.65
1988, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.04, 20.99, 14.94
1989, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.26, 20.54, 13.83
1990, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.86, 20.58, 14.39
1991, 3, 7.667, 2.134, 1.8, 13.93, 23.0, 41.8, 0.231, 0.1926, 0.000235, 0.756, 0.4259, 3.282, 0.2234, 20.0, 19.68, 150.5, 0.2541, 1.554, 1.31, 17.41, 20.71, 12.97
