# Annual average marine coldspell statistics at Tsitsikamma_East
# A value of nan indicates mising data. This should correspond to a year with no MCS events (count = 0)
Year, MCS event count [number], Duration [days], Maximum intensity [deg C], Mean intensity [deg C], Cumulative intensity [deg C x days], Total MCS days [days], Total cumulative intensity [deg C x days], Intensity variability [deg C], Rate of onset [deg C / days], Rate of decline [deg C / days], Maximum intensity (rel. thresh.) [deg C], Mean intensity (rel. thresh.) [deg C], Cumulative intensity (rel. thresh.) [deg C x days], Intensity variability (rel. thresh.) [deg C], Maximum intensity (absolute) [deg C], Mean intensity (absolute) [deg C], Cumulative intensity (absolute) [deg C x days], Intensity variability (absolute) [deg C], Maximum intensity (normalized) [unitless], Mean intensity (normalized) [unitless], Mean temperature [deg C], Max temperature [deg C], Min temperature [deg C]
1991, 1, 5.0, -5.467, -4.005, -20.03, 5.0, -20.03, 1.173, 0.5285, 0.0301, -2.825, -1.342, -6.71, 1.166, 10.81, 12.23, 61.16, 1.189, -2.069, -1.503, 17.07, 21.15, 10.76
1992, 1, 7.0, -4.776, -4.004, -28.03, 7.0, -28.03, 0.6072, 1.312, 0.005042, -2.032, -1.245, -8.718, 0.5852, 11.21, 12.02, 84.17, 0.6316, -1.74, -1.45, 17.92, 23.0, 10.94
1993, 2, 8.5, -4.401, -3.709, -32.26, 17.0, -64.51, 0.4821, 1.145, 0.001862, -1.893, -1.155, -10.87, 0.5113, 11.7, 12.43, 104.4, 0.4954, -1.769, -1.462, 17.71, 22.85, 10.03
1994, 6, 7.833, -5.907, -5.065, -36.15, 47.0, -216.9, 0.542, 1.001, 0.001961, -1.81, -1.004, -7.538, 0.5224, 11.52, 12.36, 98.59, 0.5329, -1.56, -1.286, 15.79, 20.29, 10.04
1995, 3, 13.0, -4.771, -4.174, -57.76, 39.0, -173.3, 0.4379, 0.2164, 0.0009687, -1.508, -0.993, -14.84, 0.4076, 12.08, 12.66, 164.5, 0.4359, -1.392, -1.253, 15.73, 21.62, 10.43
1996, 5, 7.2, -5.966, -5.035, -35.42, 36.0, -177.1, 0.7054, 0.9165, 0.001408, -2.094, -1.22, -8.819, 0.6833, 10.85, 11.77, 85.76, 0.6936, -1.686, -1.342, 15.48, 20.77, 9.588
1997, 3, 6.0, -5.17, -3.686, -21.62, 18.0, -64.85, 1.01, 2.109, 0.001452, -3.284, -1.765, -10.45, 1.033, 10.89, 12.38, 74.83, 1.013, -3.055, -2.089, 17.26, 23.43, 10.68
1998, 2, 13.0, -8.821, -7.429, -95.81, 26.0, -191.6, 1.079, 1.653, 0.001439, -3.763, -2.509, -32.65, 1.058, 9.287, 10.51, 137.5, 1.052, -1.763, -1.525, 16.89, 21.57, 8.763
1999, 1, 5.0, -4.928, -4.518, -22.59, 5.0, -22.59, 0.375, 2.165, 0.0003968, -1.138, -0.7938, -3.969, 0.3508, 10.85, 11.22, 56.12, 0.3602, -1.3, -1.213, 17.0, 21.83, 10.57
2000, 1, 30.0, -7.345, -4.871, -146.1, 30.0, -146.1, 1.535, 0.4346, 0.001738, -5.923, -3.437, -103.1, 1.511, 9.125, 11.58, 347.5, 1.54, -5.167, -3.394, 15.97, 21.29, 9.125
2001, 3, 12.33, -4.895, -3.732, -47.29, 37.0, -141.9, 0.8377, 0.4546, 0.000838, -2.957, -1.772, -23.46, 0.8581, 11.77, 12.91, 157.5, 0.8518, -2.557, -1.858, 16.32, 21.62, 9.882
2002, 1, 11.0, -4.852, -2.988, -32.87, 11.0, -32.87, 0.9977, 2.181, 0.0008022, -3.439, -1.52, -16.72, 1.013, 11.18, 13.1, 144.1, 1.012, -3.434, -2.043, 17.01, 22.36, 10.8
2003, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.68, 23.32, 9.258
2004, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.97, 22.52, 10.27
2005, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.27, 22.23, 9.81
2006, 2, 9.0, -6.757, -5.281, -38.47, 18.0, -76.95, 0.7752, 2.0, 0.0007333, -3.356, -1.838, -13.87, 0.8055, 10.72, 12.2, 115.6, 0.7741, -2.492, -1.612, 16.83, 22.19, 9.07
2007, 0, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.99, 22.98, 10.26
2008, 5, 12.2, -7.2, -5.515, -56.55, 61.0, -282.8, 1.107, 1.732, 0.0005389, -3.509, -1.851, -22.83, 1.107, 9.959, 11.59, 149.2, 1.101, -2.398, -1.659, 15.75, 22.16, 9.104
2009, 3, 9.667, -5.677, -4.376, -42.34, 29.0, -127.0, 0.8399, 1.725, 0.0004919, -3.12, -1.809, -17.13, 0.8619, 10.42, 11.82, 114.6, 0.8723, -2.252, -1.732, 15.88, 21.02, 10.1
