order,site,src,lon,lat,depth,type,coast,ec,sc,wc
68,Caribbean Bay,KZNSB,30.2062065,-31.0708525,0,thermo,ec,0,0,0
69,Port Edward,KZNSB,30.228464,-31.044663,0,thermo,ec,1,0,0
70,Port Edward,SAWS,30.216665,-31.05,0,thermo,ec,1,0,0
71,T.O. Strand,KZNSB,30.233,-31.033,0,thermo,ec,0,0,0
72,Leisure Bay,KZNSB,30.24596,-31.022952,0,thermo,ec,0,0,0
73,Glenmore,KZNSB,30.268477,-30.997425,0,thermo,ec,0,0,0
74,Trafalgar,KZNSB,30.301379,-30.952113,0,thermo,ec,0,0,0
75,San Lameer,KZNSB,30.304701,-30.9432,0,thermo,ec,0,0,0
76,Marina Beach,KZNSB,30.308648,-30.936647,0,thermo,ec,0,0,0
77,Kent Bay,KZNSB,30.317393,-30.926827,0,thermo,ec,0,0,0
78,Southbroom,KZNSB,30.320379,-30.924387,0,thermo,ec,0,0,0
79,Southbroom,SAWS,30.32981873,-30.91621653,0,thermo,ec,0,0,0
80,Ramsgate,KZNSB,30.372211,-30.862824,0,thermo,ec,0,0,0
81,Margate,KZNSB,30.378325,-30.856657,0,thermo,ec,0,0,0
82,Uvongo,KZNSB,30.396694,-30.834578,0,thermo,ec,0,0,0
83,St Michaels,KZNSB,30.4,-30.817,0,thermo,ec,0,0,0
84,Umtentweni,KZNSB,30.480622,-30.713244,0,thermo,ec,0,0,0
85,Umtentweni,SAWS,30.484736,-30.707349,0,thermo,ec,0,0,0
86,South Port,KZNSB,30.51095,-30.672371,0,thermo,ec,0,0,0
87,Sunwich Port,KZNSB,30.513752,-30.667387,0,thermo,ec,0,0,0
88,Banana Beach,KZNSB,30.517721,-30.659564,0,thermo,ec,0,0,0
89,Umzumbe,KZNSB,30.572105,-30.583226,0,thermo,ec,0,0,0
90,Hibberdene,KZNSB,30.581179,-30.56686,0,thermo,ec,0,0,0
91,Mtwalumi,KZNSB,30.633764,-30.48945,0,thermo,ec,0,0,0
92,Aliwal Shoal,EKZNW,30.6435,-30.46,14,UTR,ec,1,0,0
93,Ifafa,KZNSB,30.66349,-30.441029,0,thermo,ec,0,0,0
94,Park Rynie,KZNSB,30.743596,-30.31303,0,thermo,ec,0,0,0
95,Scottburgh,SAWS,30.760264,-30.28722,0,thermo,ec,1,0,0
96,Scottburgh,KZNSB,30.760684,-30.281959,0,thermo,ec,1,0,0
97,Aliwal Shoal,DEA,30.828,-30.2643166667,28,UTR,ec,1,0,0
